time,tempce,luftfeucht,co2,laut,hell
2022-01-09/00:01:17,23.16,980.6,2723.0,318.768,225.2
2022-01-09/00:01:18,23.16,980.6,2723.0,318.768,225.9
2022-01-09/00:01:19,23.16,980.6,2723.0,318.768,225.9
2022-01-09/00:01:20,23.16,980.6,2723.0,322.68,225.9
2022-01-09/00:01:22,23.16,980.6,2723.0,322.68,225.9
2022-01-09/00:01:23,23.16,980.6,2723.0,322.68,225.9
2022-01-09/00:01:24,23.16,980.6,2723.0,322.68,225.9
2022-01-09/00:01:25,23.16,980.6,2723.0,322.68,225.9
2022-01-09/00:01:26,23.18,980.7,2726.0,321.096,225.9
2022-01-09/00:01:27,23.18,980.7,2726.0,321.096,225.9
2022-01-09/00:01:29,23.18,980.7,2726.0,321.096,225.9
2022-01-09/00:01:30,23.18,980.7,2726.0,321.096,225.9
2022-01-09/00:01:31,23.18,980.7,2726.0,321.096,225.9
2022-01-09/00:01:32,23.18,980.7,2726.0,320.664,225.9
2022-01-09/00:01:33,23.18,980.7,2726.0,320.664,225.9
2022-01-09/00:01:35,23.18,980.7,2726.0,320.664,225.9
