time,tempce,luftdruck,co2,laut,hell
2022-02-23/15:55:31,23.4,1002.0,1748.0,65.0,70.8
2022-02-23/15:55:32,23.4,1002.0,1748.0,62.0,70.8
2022-02-23/15:55:33,23.4,1002.0,1748.0,62.0,70.9
2022-02-23/15:55:34,23.4,1002.0,1749.0,56.0,70.8
2022-02-23/15:55:35,23.4,1002.0,1749.0,56.0,70.8
2022-02-23/15:55:36,23.4,1002.0,1749.0,65.0,70.9
2022-02-23/15:55:37,23.4,1002.0,1749.0,65.0,71.5
2022-02-23/15:55:38,23.4,1002.0,1749.0,65.0,71.7
2022-02-23/15:55:40,23.4,1002.0,1749.0,65.0,70.7
2022-02-23/15:55:41,23.4,1002.0,1749.0,65.0,71.7
2022-02-23/15:55:42,23.4,1002.0,1749.0,65.0,71.7
2022-02-23/15:55:43,23.4,1002.0,1749.0,66.0,71.6
2022-02-23/15:55:44,23.4,1002.0,1749.0,66.0,71.7
2022-02-23/15:55:45,23.4,1002.0,1749.0,65.0,71.7
2022-02-23/15:55:46,23.4,1002.0,1749.0,65.0,71.6
2022-02-23/15:55:47,23.4,1002.0,1740.0,62.0,71.2
2022-02-23/15:55:48,23.4,1002.0,1740.0,62.0,70.8
2022-02-23/15:55:49,23.4,1002.0,1740.0,57.0,71.5
2022-02-23/15:55:51,23.4,1002.0,1740.0,57.0,71.7
2022-02-23/15:55:52,23.4,1002.0,1740.0,65.0,71.6
2022-02-23/15:55:53,23.4,1002.0,1740.0,65.0,71.7
