time,tempce,luftdruck,co2,laut,hell
2022-02-27/15:21:50,23.0,1013.0,900.0,60.0,136.7
2022-02-27/15:21:51,23.0,1013.0,900.0,66.0,136.7
2022-02-27/15:21:52,23.0,1013.0,900.0,66.0,136.7
2022-02-27/15:21:53,23.0,1013.0,900.0,66.0,136.9
2022-02-27/15:21:54,23.0,1013.0,900.0,66.0,136.7
2022-02-27/15:21:55,23.0,1013.0,900.0,64.0,136.7
2022-02-27/15:21:56,23.0,1013.0,900.0,64.0,137.3
2022-02-27/15:21:58,23.0,1013.0,900.0,66.0,137.3
2022-02-27/15:21:59,23.0,1013.0,900.0,66.0,136.5
2022-02-27/15:22:00,23.0,1013.0,900.0,67.0,136.7
2022-02-27/15:22:01,23.0,1013.0,900.0,67.0,136.7
2022-02-27/15:22:02,23.0,1013.0,904.0,61.0,136.7
2022-02-27/15:22:03,23.0,1013.0,904.0,61.0,136.7
2022-02-27/15:22:04,23.0,1013.0,904.0,62.0,136.7
2022-02-27/15:22:05,23.0,1013.0,904.0,62.0,136.4
2022-02-27/15:22:06,23.0,1013.0,904.0,66.0,136.5
2022-02-27/15:22:07,23.0,1013.0,904.0,66.0,135.8
2022-02-27/15:22:08,23.0,1013.0,904.0,66.0,136.2
2022-02-27/15:22:10,23.0,1013.0,904.0,66.0,136.0
2022-02-27/15:22:11,23.0,1013.0,904.0,66.0,135.8
2022-02-27/15:22:12,23.0,1013.0,904.0,66.0,135.6
2022-02-27/15:22:13,23.0,1013.0,904.0,66.0,135.4
2022-02-27/15:22:14,23.0,1013.0,904.0,66.0,135.4
2022-02-27/15:22:15,23.0,1013.0,904.0,66.0,135.7
2022-02-27/15:22:16,23.0,1013.0,904.0,66.0,135.7
2022-02-27/15:22:17,23.0,1013.0,904.0,58.0,135.8
2022-02-27/15:22:18,23.0,1013.0,904.0,58.0,135.8
2022-02-27/15:22:19,23.0,1013.0,904.0,66.0,135.8
2022-02-27/15:22:20,23.0,1013.0,904.0,66.0,135.8
2022-02-27/15:22:22,23.0,1013.0,904.0,66.0,135.3
2022-02-27/15:22:23,23.0,1013.0,904.0,66.0,135.2
2022-02-27/15:22:24,23.0,1013.0,904.0,66.0,135.0
2022-02-27/15:22:25,23.0,1013.0,904.0,66.0,135.0
2022-02-27/15:22:26,23.0,1013.0,904.0,66.0,135.0
2022-02-27/15:22:27,23.0,1013.0,904.0,66.0,135.0
2022-02-27/15:22:28,23.0,1013.0,904.0,66.0,135.0
2022-02-27/15:22:29,23.0,1013.0,904.0,66.0,135.0
2022-02-27/15:22:30,23.0,1013.0,904.0,66.0,135.0
2022-02-27/15:22:31,23.0,1013.0,904.0,66.0,134.5
2022-02-27/15:22:32,23.0,1013.0,912.0,58.0,134.6
2022-02-27/15:22:34,23.0,1013.0,912.0,58.0,134.7
2022-02-27/15:22:35,23.0,1013.0,912.0,66.0,134.6
2022-02-27/15:22:36,23.0,1013.0,912.0,66.0,134.2
2022-02-27/15:22:37,23.0,1013.0,912.0,66.0,134.2
2022-02-27/15:22:38,23.0,1013.0,912.0,66.0,133.1
2022-02-27/15:22:39,23.0,1013.0,912.0,66.0,134.2
2022-02-27/15:22:40,23.0,1013.0,912.0,66.0,134.2
2022-02-27/15:22:41,23.0,1013.0,912.0,66.0,134.1
2022-02-27/15:22:42,23.0,1013.0,912.0,66.0,133.3
2022-02-27/15:22:43,23.0,1013.0,912.0,66.0,133.3
2022-02-27/15:22:44,23.0,1013.0,912.0,66.0,133.3
2022-02-27/15:22:46,23.0,1013.0,912.0,66.0,133.5
2022-02-27/15:22:47,23.0,1013.0,912.0,66.0,133.4
2022-02-27/15:22:48,23.0,1013.0,923.0,58.0,133.3
2022-02-27/15:22:49,23.0,1013.0,923.0,58.0,133.3
2022-02-27/15:22:50,23.0,1013.0,923.0,66.0,133.3
2022-02-27/15:22:51,23.0,1013.0,923.0,66.0,133.3
2022-02-27/15:22:52,23.0,1013.0,923.0,66.0,133.3
2022-02-27/15:22:53,23.0,1013.0,923.0,66.0,133.3
2022-02-27/15:22:54,23.0,1013.0,923.0,66.0,132.9
2022-02-27/15:22:55,23.0,1013.0,923.0,66.0,132.7
2022-02-27/15:22:57,23.0,1013.0,923.0,66.0,132.5
2022-02-27/15:22:58,23.0,1013.0,923.0,66.0,132.5
2022-02-27/15:22:59,23.0,1013.0,923.0,66.0,132.3
2022-02-27/15:23:00,23.0,1013.0,923.0,66.0,131.8
2022-02-27/15:23:01,23.0,1013.0,923.0,66.0,131.7
2022-02-27/15:23:02,23.0,1013.0,923.0,66.0,131.7
2022-02-27/15:23:03,23.0,1013.0,934.0,58.0,131.7
2022-02-27/15:23:04,23.0,1013.0,934.0,58.0,131.8
2022-02-27/15:23:05,23.0,1013.0,934.0,66.0,131.9
2022-02-27/15:23:06,23.0,1013.0,934.0,66.0,131.7
2022-02-27/15:23:07,23.0,1013.0,934.0,66.0,130.0
2022-02-27/15:23:09,23.0,1013.0,934.0,66.0,131.5
2022-02-27/15:23:10,23.0,1013.0,934.0,66.0,130.8
2022-02-27/15:23:11,23.0,1013.0,934.0,66.0,130.8
2022-02-27/15:23:12,23.0,1013.0,934.0,63.0,130.8
2022-02-27/15:23:13,23.0,1013.0,934.0,63.0,130.8
2022-02-27/15:23:14,23.0,1013.0,934.0,66.0,130.8
2022-02-27/15:23:15,23.0,1013.0,934.0,66.0,130.8
2022-02-27/15:23:16,23.0,1013.0,934.0,66.0,130.8
2022-02-27/15:23:17,23.0,1013.0,934.0,66.0,130.3
2022-02-27/15:23:18,23.1,1013.0,937.0,58.0,130.4
2022-02-27/15:23:20,23.1,1013.0,937.0,58.0,130.7
2022-02-27/15:23:21,23.1,1013.0,937.0,66.0,130.1
2022-02-27/15:23:22,23.1,1013.0,937.0,66.0,130.0
2022-02-27/15:23:23,23.1,1013.0,937.0,66.0,130.0
2022-02-27/15:23:24,23.1,1013.0,937.0,66.0,130.0
2022-02-27/15:23:25,23.1,1013.0,937.0,66.0,130.0
2022-02-27/15:23:26,23.1,1013.0,937.0,66.0,130.0
2022-02-27/15:23:27,23.1,1013.0,937.0,66.0,129.2
2022-02-27/15:23:28,23.1,1013.0,937.0,66.0,129.5
2022-02-27/15:23:29,23.1,1013.0,937.0,66.0,129.3
2022-02-27/15:23:30,23.1,1013.0,937.0,66.0,129.5
2022-02-27/15:23:32,23.1,1013.0,935.0,63.0,129.2
2022-02-27/15:23:33,23.1,1013.0,935.0,63.0,129.2
2022-02-27/15:23:34,23.1,1013.0,935.0,62.0,129.2
2022-02-27/15:23:35,23.1,1013.0,935.0,62.0,129.2
2022-02-27/15:23:36,23.1,1013.0,935.0,66.0,129.2
2022-02-27/15:23:37,23.1,1013.0,935.0,66.0,129.2
2022-02-27/15:23:38,23.1,1013.0,935.0,66.0,129.2
2022-02-27/15:23:39,23.1,1013.0,935.0,66.0,128.9
2022-02-27/15:23:40,23.1,1013.0,935.0,66.0,128.5
2022-02-27/15:23:41,23.1,1013.0,935.0,66.0,128.5
2022-02-27/15:23:43,23.1,1013.0,935.0,66.0,128.3
2022-02-27/15:23:44,23.1,1013.0,935.0,66.0,128.3
2022-02-27/15:23:45,23.1,1013.0,935.0,66.0,128.3
2022-02-27/15:23:46,23.1,1013.0,935.0,66.0,128.3
2022-02-27/15:23:47,23.1,1013.0,939.0,61.0,128.3
2022-02-27/15:23:48,23.1,1013.0,939.0,61.0,128.3
2022-02-27/15:23:49,23.1,1013.0,939.0,62.0,128.3
2022-02-27/15:23:50,23.1,1013.0,939.0,62.0,128.3
2022-02-27/15:23:51,23.1,1013.0,939.0,66.0,128.3
2022-02-27/15:23:52,23.1,1013.0,939.0,66.0,128.3
2022-02-27/15:23:53,23.1,1013.0,939.0,66.0,128.3
2022-02-27/15:23:55,23.1,1013.0,939.0,66.0,128.1
2022-02-27/15:23:56,23.1,1013.0,939.0,66.0,127.8
2022-02-27/15:23:57,23.1,1013.0,939.0,66.0,127.6
2022-02-27/15:23:58,23.1,1013.0,939.0,66.0,127.5
2022-02-27/15:23:59,23.1,1013.0,939.0,66.0,127.5
2022-02-27/15:24:00,23.1,1013.0,939.0,66.0,127.5
2022-02-27/15:24:01,23.1,1013.0,939.0,66.0,127.5
2022-02-27/15:24:02,23.1,1013.0,939.0,57.0,127.5
2022-02-27/15:24:03,23.1,1013.0,939.0,57.0,127.5
2022-02-27/15:24:04,23.1,1013.0,939.0,66.0,127.5
2022-02-27/15:24:05,23.1,1013.0,939.0,66.0,127.5
2022-02-27/15:24:07,23.1,1013.0,939.0,66.0,127.1
2022-02-27/15:24:08,23.1,1013.0,939.0,66.0,127.5
2022-02-27/15:24:09,23.1,1013.0,939.0,66.0,127.5
2022-02-27/15:24:10,23.1,1013.0,939.0,66.0,126.9
2022-02-27/15:24:11,23.1,1013.0,939.0,66.0,126.7
2022-02-27/15:24:12,23.1,1013.0,939.0,66.0,126.7
2022-02-27/15:24:13,23.1,1013.0,939.0,66.0,126.7
2022-02-27/15:24:14,23.1,1013.0,939.0,66.0,126.7
2022-02-27/15:24:15,23.1,1013.0,939.0,66.0,126.7
2022-02-27/15:24:16,23.1,1013.0,939.0,66.0,126.0
2022-02-27/15:24:18,23.1,1013.0,938.0,56.0,125.8
2022-02-27/15:24:19,23.1,1013.0,938.0,56.0,125.8
2022-02-27/15:24:20,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:21,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:22,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:23,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:24,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:25,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:26,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:27,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:28,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:30,23.1,1013.0,938.0,66.0,125.7
2022-02-27/15:24:31,23.1,1013.0,938.0,66.0,125.7
2022-02-27/15:24:32,23.1,1013.0,938.0,66.0,125.8
2022-02-27/15:24:33,23.1,1013.0,938.0,59.0,125.2
2022-02-27/15:24:34,23.1,1013.0,938.0,59.0,125.8
2022-02-27/15:24:35,23.1,1013.0,938.0,66.0,125.4
2022-02-27/15:24:36,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:37,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:38,23.1,1013.0,938.0,66.0,125.1
2022-02-27/15:24:39,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:41,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:42,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:43,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:44,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:45,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:46,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:47,23.1,1013.0,938.0,66.0,125.0
2022-02-27/15:24:48,23.1,1013.0,936.0,59.0,125.0
2022-02-27/15:24:49,23.1,1013.0,936.0,59.0,125.0
2022-02-27/15:24:50,23.1,1013.0,936.0,66.0,124.9
2022-02-27/15:24:51,23.1,1013.0,936.0,66.0,124.7
2022-02-27/15:24:53,23.1,1013.0,936.0,66.0,124.6
2022-02-27/15:24:54,23.1,1013.0,936.0,66.0,124.5
2022-02-27/15:24:55,23.1,1013.0,936.0,66.0,124.2
2022-02-27/15:24:56,23.1,1013.0,936.0,66.0,124.2
2022-02-27/15:24:57,23.1,1013.0,936.0,66.0,124.2
