time,tempce,luftfeucht,co2,laut,hell
2022-01-08/14:02:40,21.3,988.2,837.0,24.0,245.2
2022-01-08/14:02:41,21.3,988.2,837.0,24.0,244.9
2022-01-08/14:02:42,21.3,988.2,837.0,24.0,245.4
2022-01-08/14:02:43,21.3,988.2,837.0,24.0,245.5
2022-01-08/14:02:45,21.3,988.2,837.0,362.76,245.7
2022-01-08/14:02:46,21.3,988.2,837.0,362.76,245.7
2022-01-08/14:02:47,21.3,988.2,837.0,362.76,245.7
2022-01-08/14:02:48,21.3,988.2,837.0,362.76,245.7
2022-01-08/14:02:49,21.3,988.2,837.0,362.76,245.7
2022-01-08/14:02:51,21.32,988.2,845.0,357.72,245.7
2022-01-08/14:02:52,21.32,988.2,845.0,357.72,245.7
2022-01-08/14:02:53,21.32,988.2,845.0,357.72,245.7
2022-01-08/14:02:54,21.32,988.2,845.0,357.72,245.7
2022-01-08/14:02:55,21.32,988.2,845.0,357.72,245.7
2022-01-08/14:02:56,21.32,988.2,845.0,358.104,236.2
2022-01-08/14:02:58,21.32,988.2,845.0,358.104,182.6
2022-01-08/14:02:59,21.32,988.2,845.0,358.104,218.5
2022-01-08/14:03:00,21.32,988.2,845.0,358.104,242.2
2022-01-08/14:03:01,21.32,988.2,845.0,358.104,250.8
2022-01-08/14:03:02,21.37,988.2,844.0,436.56,270.1
2022-01-08/14:03:03,21.37,988.2,844.0,436.56,269.2
2022-01-08/14:03:05,21.37,988.2,844.0,436.56,266.6
2022-01-08/14:03:06,21.37,988.2,844.0,436.56,269.0
2022-01-08/14:03:07,21.37,988.2,844.0,436.56,270.9
2022-01-08/14:03:08,21.37,988.2,844.0,363.6,266.9
2022-01-08/14:03:09,21.37,988.2,844.0,363.6,267.1
2022-01-08/14:03:11,21.37,988.2,844.0,363.6,267.3
2022-01-08/14:03:12,21.37,988.2,844.0,363.6,267.3
2022-01-08/14:03:13,21.37,988.2,844.0,363.6,266.7
