time,tempce,luftfeucht,co2,laut,hell
2022-01-08/14:17:16,25,51.0,669.0,50.0,400
2022-01-08/14:17:17,25,51.0,669.0,50.0,400
2022-01-08/14:17:18,25,51.0,669.0,50.0,400
2022-01-08/14:17:19,25,51.0,669.0,50.0,400
2022-01-08/14:17:20,25,51.0,669.0,50.0,400
2022-01-08/14:17:21,25,51.0,669.0,50.0,400
2022-01-08/14:17:22,25,51.0,669.0,50.0,400
2022-01-08/14:17:23,25,51.0,669.0,50.0,400
2022-01-08/14:17:24,25,51.0,669.0,50.0,400
2022-01-08/14:17:25,25,51.0,669.0,50.0,400
2022-01-08/14:17:26,25,51.0,669.0,50.0,400
2022-01-08/14:17:27,25,51.0,669.0,50.0,400
2022-01-08/14:17:28,25,51.0,669.0,50.0,400
2022-01-08/14:17:29,25,51.0,669.0,50.0,400
2022-01-08/14:17:30,25,51.0,669.0,50.0,400
2022-01-08/14:17:31,25,51.0,669.0,50.0,400
2022-01-08/14:17:32,25,51.0,669.0,50.0,400
2022-01-08/14:17:33,25,51.0,669.0,50.0,400
2022-01-08/14:17:35,25,51.0,669.0,50.0,400
2022-01-08/14:17:36,25,51.0,669.0,50.0,400
2022-01-08/14:17:37,25,51.0,669.0,50.0,400
2022-01-08/14:17:38,25,51.0,669.0,50.0,400
2022-01-08/14:17:39,25,51.0,669.0,50.0,400
2022-01-08/14:17:40,25,51.0,669.0,50.0,400
2022-01-08/14:17:41,25,51.0,669.0,50.0,400
2022-01-08/14:17:42,25,51.0,669.0,50.0,400
2022-01-08/14:17:43,25,51.0,669.0,50.0,400
2022-01-08/14:17:44,25,51.0,669.0,50.0,400
2022-01-08/14:17:45,25,51.0,669.0,50.0,400
2022-01-08/14:17:46,25,51.0,669.0,50.0,400
2022-01-08/14:17:47,25,51.0,669.0,50.0,400
2022-01-08/14:17:48,25,51.0,669.0,50.0,400
2022-01-08/14:17:50,25,51.0,669.0,50.0,400
2022-01-08/14:17:51,25,51.0,669.0,50.0,400
2022-01-08/14:17:52,25,51.0,669.0,50.0,400
2022-01-08/14:17:54,25,51.0,669.0,50.0,400
2022-01-08/14:17:55,25,51.0,669.0,50.0,400
2022-01-08/14:17:57,25,51.0,669.0,50.0,400
2022-01-08/14:17:58,25,51.0,669.0,50.0,400
2022-01-08/14:17:59,25,51.0,669.0,50.0,400
2022-01-08/14:18:01,25,51.0,669.0,50.0,400
2022-01-08/14:18:02,25,51.0,669.0,50.0,400
2022-01-08/14:18:03,25,51.0,669.0,50.0,400
2022-01-08/14:18:05,25,51.0,669.0,50.0,400
2022-01-08/14:18:06,25,51.0,669.0,50.0,400
2022-01-08/14:18:07,25,51.0,669.0,50.0,400
