time,tempce,luftdruck,co2,laut,hell
2023-01-14/20:31:45,22,1000,0,0,400
2023-01-14/20:31:47,22,1000,0,0,400
2023-01-14/20:31:48,22,1000,0,0,400
2023-01-14/20:31:49,22,1000,0,0,400
2023-01-14/20:31:50,22,1000,0,0,400
2023-01-14/20:31:51,22,1000,0,0,400
2023-01-14/20:31:52,22,1000,0,0,400
2023-01-14/20:31:53,22,1000,0,0,400
2023-01-14/20:31:54,22,1000,0,0,400
2023-01-14/20:31:55,22,1000,0,0,400
2023-01-14/20:31:56,22,1000,0,0,400
2023-01-14/20:31:57,22,1000,0,0,400
2023-01-14/20:31:58,22,1000,0,0,400
2023-01-14/20:31:59,22,1000,0,0,400
2023-01-14/20:32:00,22,1000,0,0,400
2023-01-14/20:32:01,22,1000,0,0,400
2023-01-14/20:32:02,22,1000,0,0,400
2023-01-14/20:32:03,22,1000,0,0,400
2023-01-14/20:32:04,22,1000,0,0,400
2023-01-14/20:32:05,22,1000,0,0,400
2023-01-14/20:32:06,22,1000,0,0,400
2023-01-14/20:32:07,22,1000,0,0,400
2023-01-14/20:32:08,22,1000,0,0,400
2023-01-14/20:32:09,22,1000,0,0,400
2023-01-14/20:32:10,22,1000,0,0,400
2023-01-14/20:32:11,22,1000,0,0,400
2023-01-14/20:32:12,22,1000,0,0,400
2023-01-14/20:32:13,22,1000,0,0,400
2023-01-14/20:32:14,22,1000,0,0,400
2023-01-14/20:32:15,22,1000,0,0,400
2023-01-14/20:32:16,22,1000,0,0,400
2023-01-14/20:32:17,22,1000,0,0,400
2023-01-14/20:32:18,22,1000,0,0,400
2023-01-14/20:32:19,22,1000,0,0,400
2023-01-14/20:32:20,22,1000,0,0,400
2023-01-14/20:32:21,22,1000,0,0,400
2023-01-14/20:32:22,22,1000,0,0,400
2023-01-14/20:32:23,22,1000,0,0,400
2023-01-14/20:32:25,22,1000,0,0,400
2023-01-14/20:32:26,22,1000,0,0,400
2023-01-14/20:32:27,22,1000,0,0,400
2023-01-14/20:32:28,22,1000,0,0,400
2023-01-14/20:32:29,22,1000,0,0,400
2023-01-14/20:32:30,22,1000,0,0,400
2023-01-14/20:32:31,22,1000,0,0,400
2023-01-14/20:32:32,22,1000,0,0,400
2023-01-14/20:32:33,22,1000,0,0,400
2023-01-14/20:32:34,22,1000,0,0,400
2023-01-14/20:32:35,22,1000,0,0,400
2023-01-14/20:32:36,22,1000,0,0,400
2023-01-14/20:32:42,22,1000,0,0,400
