time,tempce,luftfeucht,co2,laut,hell
2022-01-05/17:57:40,22.51,980.2,1205.0,24.0,210.6
2022-01-05/17:57:41,22.51,980.2,1205.0,24.0,210.6
2022-01-05/17:57:43,22.51,980.2,1205.0,24.0,210.6
2022-01-05/17:57:44,22.51,980.2,1205.0,23.808,210.6
2022-01-05/17:57:45,22.51,980.2,1205.0,23.808,210.6
2022-01-05/17:57:46,22.51,980.2,1205.0,23.808,210.6
2022-01-05/17:57:47,22.51,980.2,1205.0,23.808,210.6
2022-01-05/17:57:48,22.51,980.2,1205.0,23.808,210.6
2022-01-05/17:57:50,22.51,980.2,1205.0,23.208,210.6
2022-01-05/17:57:51,22.51,980.2,1205.0,23.208,210.6
2022-01-05/17:57:52,22.51,980.2,1205.0,23.208,210.9
2022-01-05/17:57:53,22.51,980.2,1205.0,23.208,211.3
2022-01-05/17:57:54,22.51,980.2,1205.0,23.208,211.3
2022-01-05/17:57:56,22.51,980.2,1207.0,22.752,211.1
2022-01-05/17:57:57,22.51,980.2,1207.0,22.752,210.6
2022-01-05/17:57:58,22.51,980.2,1207.0,22.752,210.6
2022-01-05/17:57:59,22.51,980.2,1207.0,22.752,210.6
2022-01-05/17:58:00,22.51,980.2,1207.0,22.752,210.6
2022-01-05/17:58:01,22.51,980.2,1207.0,23.208,210.6
2022-01-05/17:58:03,22.51,980.2,1207.0,23.208,210.6
2022-01-05/17:58:04,22.51,980.2,1207.0,23.208,210.6
2022-01-05/17:58:05,22.51,980.2,1207.0,23.208,210.6
2022-01-05/17:58:06,22.51,980.2,1207.0,23.208,210.6
2022-01-05/17:58:07,22.51,980.1,1203.0,23.904,210.6
2022-01-05/17:58:08,22.51,980.1,1203.0,23.904,210.6
2022-01-05/17:58:10,22.51,980.1,1203.0,23.904,210.6
2022-01-05/17:58:11,22.51,980.1,1203.0,23.904,210.6
2022-01-05/17:58:12,22.51,980.1,1203.0,23.904,210.6
2022-01-05/17:58:13,22.51,980.1,1203.0,22.224,210.6
2022-01-05/17:58:14,22.51,980.1,1203.0,22.224,210.6
2022-01-05/17:58:16,22.51,980.1,1203.0,22.224,210.6
2022-01-05/17:58:17,22.51,980.1,1203.0,22.224,210.6
2022-01-05/17:58:18,22.51,980.1,1203.0,22.224,210.6
2022-01-05/17:58:19,22.51,980.1,1203.0,23.088,210.6
2022-01-05/17:58:20,22.51,980.1,1203.0,23.088,210.6
2022-01-05/17:58:21,22.51,980.1,1203.0,23.088,210.6
2022-01-05/17:58:23,22.51,980.1,1203.0,23.088,210.6
2022-01-05/17:58:24,22.51,980.1,1203.0,23.088,210.6
2022-01-05/17:58:25,22.51,980.2,1203.0,22.752,210.6
2022-01-05/17:58:26,22.51,980.2,1203.0,22.752,210.6
2022-01-05/17:58:27,22.51,980.2,1203.0,22.752,210.6
2022-01-05/17:58:28,22.51,980.2,1203.0,22.752,210.6
2022-01-05/17:58:30,22.51,980.2,1203.0,22.752,210.6
2022-01-05/17:58:31,22.51,980.2,1203.0,22.944,210.6
2022-01-05/17:58:32,22.51,980.2,1203.0,22.944,210.6
2022-01-05/17:58:33,22.51,980.2,1203.0,22.944,210.6
2022-01-05/17:58:34,22.51,980.2,1203.0,22.944,210.6
2022-01-05/17:58:36,22.51,980.2,1203.0,22.944,210.6
2022-01-05/17:58:37,22.51,980.2,1203.0,22.584,210.6
2022-01-05/17:58:38,22.51,980.2,1203.0,22.584,210.6
2022-01-05/17:58:39,22.51,980.2,1203.0,22.584,210.6
2022-01-05/17:58:40,22.51,980.2,1203.0,22.584,210.6
2022-01-05/17:58:41,22.51,980.2,1203.0,22.584,210.6
2022-01-05/17:58:43,22.53,980.2,1197.0,22.968,210.6
2022-01-05/17:58:44,22.53,980.2,1197.0,22.968,210.6
2022-01-05/17:58:45,22.53,980.2,1197.0,22.968,210.6
2022-01-05/17:58:46,22.53,980.2,1197.0,22.968,210.6
2022-01-05/17:58:47,22.53,980.2,1197.0,22.968,210.6
2022-01-05/17:58:49,22.53,980.2,1197.0,22.656,210.6
2022-01-05/17:58:50,22.53,980.2,1197.0,22.656,210.6
2022-01-05/17:58:51,22.53,980.2,1197.0,22.656,210.6
2022-01-05/17:58:52,22.53,980.2,1197.0,22.656,210.6
2022-01-05/17:58:53,22.53,980.2,1197.0,22.656,210.6
2022-01-05/17:58:54,22.51,980.2,1190.0,22.56,210.6
2022-01-05/17:58:56,22.51,980.2,1190.0,22.56,210.6
2022-01-05/17:58:57,22.51,980.2,1190.0,22.56,210.6
2022-01-05/17:58:58,22.51,980.2,1190.0,22.56,210.6
2022-01-05/17:58:59,22.51,980.2,1190.0,22.56,210.6
2022-01-05/17:59:00,22.51,980.2,1190.0,22.896,210.6
2022-01-05/17:59:01,22.51,980.2,1190.0,22.896,210.6
2022-01-05/17:59:03,22.51,980.2,1190.0,22.896,210.6
2022-01-05/17:59:04,22.51,980.2,1190.0,22.896,210.6
2022-01-05/17:59:05,22.51,980.2,1190.0,22.896,210.6
2022-01-05/17:59:06,22.51,980.2,1190.0,22.704,210.6
2022-01-05/17:59:07,22.51,980.2,1190.0,22.704,210.6
2022-01-05/17:59:09,22.51,980.2,1190.0,22.704,210.6
2022-01-05/17:59:10,22.51,980.2,1190.0,22.704,210.7
2022-01-05/17:59:11,22.51,980.2,1190.0,22.704,210.6
2022-01-05/17:59:12,22.53,980.1,1188.0,23.112,210.6
2022-01-05/17:59:13,22.53,980.1,1188.0,23.112,210.6
2022-01-05/17:59:14,22.53,980.1,1188.0,23.112,210.3
2022-01-05/17:59:16,22.53,980.1,1188.0,23.112,210.5
2022-01-05/17:59:17,22.53,980.1,1188.0,23.112,210.6
2022-01-05/17:59:18,22.53,980.1,1188.0,23.136,210.6
2022-01-05/17:59:19,22.53,980.1,1188.0,23.136,210.6
2022-01-05/17:59:20,22.53,980.1,1188.0,23.136,212.0
2022-01-05/17:59:22,22.53,980.1,1188.0,23.136,213.2
2022-01-05/17:59:23,22.53,980.1,1188.0,23.136,213.3
2022-01-05/17:59:24,22.53,980.2,1189.0,22.656,213.3
2022-01-05/17:59:25,22.53,980.2,1189.0,22.656,213.3
2022-01-05/17:59:26,22.53,980.2,1189.0,22.656,213.3
2022-01-05/17:59:27,22.53,980.2,1189.0,22.656,213.3
2022-01-05/17:59:29,22.53,980.2,1189.0,22.656,213.3
2022-01-05/17:59:30,22.53,980.2,1189.0,22.896,213.2
2022-01-05/17:59:31,22.53,980.2,1189.0,22.896,213.3
2022-01-05/17:59:32,22.53,980.2,1189.0,22.896,213.3
2022-01-05/17:59:33,22.53,980.2,1189.0,22.896,213.3
2022-01-05/17:59:34,22.53,980.2,1189.0,22.896,213.3
2022-01-05/17:59:36,22.53,980.2,1189.0,23.16,213.3
2022-01-05/17:59:37,22.53,980.2,1189.0,23.16,212.8
2022-01-05/17:59:38,22.53,980.2,1189.0,23.16,213.1
2022-01-05/17:59:39,22.53,980.2,1189.0,23.16,212.8
2022-01-05/17:59:40,22.53,980.2,1189.0,23.16,212.4
2022-01-05/17:59:42,22.54,980.2,1196.0,25.488,212.4
2022-01-05/17:59:43,22.54,980.2,1196.0,25.488,213.3
2022-01-05/17:59:44,22.54,980.2,1196.0,25.488,213.2
2022-01-05/17:59:45,22.54,980.2,1196.0,25.488,213.0
2022-01-05/17:59:46,22.54,980.2,1196.0,25.488,213.1
2022-01-05/17:59:47,22.54,980.2,1196.0,23.064,212.7
2022-01-05/17:59:49,22.54,980.2,1196.0,23.064,213.3
2022-01-05/17:59:50,22.54,980.2,1196.0,23.064,213.3
2022-01-05/17:59:51,22.54,980.2,1196.0,23.064,213.3
2022-01-05/17:59:52,22.54,980.2,1196.0,23.064,213.3
2022-01-05/17:59:53,22.55,980.2,1205.0,22.8,213.3
2022-01-05/17:59:55,22.55,980.2,1205.0,22.8,213.3
2022-01-05/17:59:56,22.55,980.2,1205.0,22.8,212.9
2022-01-05/17:59:57,22.55,980.2,1205.0,22.8,212.5
2022-01-05/17:59:58,22.55,980.2,1205.0,22.8,212.4
2022-01-05/17:59:59,22.55,980.2,1205.0,22.776,212.4
2022-01-05/18:00:00,22.55,980.2,1205.0,22.776,212.5
2022-01-05/18:00:02,22.55,980.2,1205.0,22.776,212.5
2022-01-05/18:00:03,22.55,980.2,1205.0,22.776,212.6
2022-01-05/18:00:04,22.55,980.2,1205.0,22.776,212.5
2022-01-05/18:00:05,22.55,980.2,1205.0,22.944,212.5
2022-01-05/18:00:06,22.55,980.2,1205.0,22.944,212.6
2022-01-05/18:00:07,22.55,980.2,1205.0,22.944,212.6
2022-01-05/18:00:09,22.55,980.2,1205.0,22.944,212.8
2022-01-05/18:00:10,22.55,980.2,1205.0,22.944,213.0
2022-01-05/18:00:11,22.55,980.2,1212.0,22.632,213.3
2022-01-05/18:00:12,22.55,980.2,1212.0,22.632,213.0
2022-01-05/18:00:13,22.55,980.2,1212.0,22.632,213.0
2022-01-05/18:00:15,22.55,980.2,1212.0,22.632,213.3
2022-01-05/18:00:16,22.55,980.2,1212.0,22.632,213.2
2022-01-05/18:00:17,22.55,980.2,1212.0,23.064,213.3
2022-01-05/18:00:18,22.55,980.2,1212.0,23.064,213.5
2022-01-05/18:00:19,22.55,980.2,1212.0,23.064,212.9
2022-01-05/18:00:20,22.55,980.2,1212.0,23.064,212.4
2022-01-05/18:00:22,22.55,980.2,1212.0,23.064,212.4
2022-01-05/18:00:23,22.57,980.2,1216.0,22.896,213.0
2022-01-05/18:00:24,22.57,980.2,1216.0,22.896,213.4
2022-01-05/18:00:25,22.57,980.2,1216.0,22.896,213.3
2022-01-05/18:00:26,22.57,980.2,1216.0,22.896,213.3
2022-01-05/18:00:27,22.57,980.2,1216.0,22.896,213.3
2022-01-05/18:00:29,22.57,980.2,1216.0,22.872,213.3
2022-01-05/18:00:30,22.57,980.2,1216.0,22.872,213.3
2022-01-05/18:00:31,22.57,980.2,1216.0,22.872,213.3
2022-01-05/18:00:32,22.57,980.2,1216.0,22.872,213.3
2022-01-05/18:00:33,22.57,980.2,1216.0,22.872,213.3
2022-01-05/18:00:35,22.57,980.2,1216.0,23.016,213.3
2022-01-05/18:00:36,22.57,980.2,1216.0,23.016,213.3
2022-01-05/18:00:37,22.57,980.2,1216.0,23.016,213.3
2022-01-05/18:00:38,22.57,980.2,1216.0,23.016,212.7
2022-01-05/18:00:39,22.57,980.2,1216.0,23.016,213.3
2022-01-05/18:00:40,22.56,980.2,1219.0,22.848,212.9
2022-01-05/18:00:42,22.56,980.2,1219.0,22.848,213.1
2022-01-05/18:00:43,22.56,980.2,1219.0,22.848,212.7
2022-01-05/18:00:44,22.56,980.2,1219.0,22.848,212.8
2022-01-05/18:00:45,22.56,980.2,1219.0,22.848,213.0
2022-01-05/18:00:46,22.56,980.2,1219.0,22.44,212.4
2022-01-05/18:00:48,22.56,980.2,1219.0,22.44,212.4
2022-01-05/18:00:49,22.56,980.2,1219.0,22.44,212.4
2022-01-05/18:00:50,22.56,980.2,1219.0,22.44,212.4
2022-01-05/18:00:51,22.56,980.2,1219.0,22.44,209.7
2022-01-05/18:00:52,22.59,980.2,1218.0,23.664,209.7
2022-01-05/18:00:53,22.59,980.2,1218.0,23.664,209.7
