time,tempce,luftdruck,co2,laut,hell
2022-02-22/16:59:45,23.8,993.0,1615.0,66.0,10.8
2022-02-22/16:59:46,23.8,993.0,1615.0,66.0,10.8
2022-02-22/16:59:47,23.8,993.0,1615.0,66.0,10.8
2022-02-22/16:59:48,23.8,993.0,1615.0,66.0,10.8
2022-02-22/16:59:49,23.8,993.0,1622.0,56.0,10.8
2022-02-22/16:59:50,23.8,993.0,1622.0,56.0,10.8
2022-02-22/16:59:52,23.8,993.0,1622.0,66.0,10.8
2022-02-22/16:59:53,23.8,993.0,1622.0,66.0,10.8
2022-02-22/16:59:54,23.8,993.0,1622.0,66.0,10.8
2022-02-22/16:59:55,23.8,993.0,1622.0,66.0,10.8
2022-02-22/16:59:56,23.8,993.0,1622.0,66.0,10.8
2022-02-22/16:59:57,23.8,993.0,1622.0,66.0,10.8
2022-02-22/16:59:58,23.8,993.0,1622.0,66.0,10.8
2022-02-22/16:59:59,23.8,993.0,1622.0,66.0,10.8
2022-02-22/17:00:00,23.8,993.0,1622.0,66.0,10.8
2022-02-22/17:00:01,23.8,993.0,1622.0,66.0,11.0
2022-02-22/17:00:03,23.8,993.0,1622.0,61.0,11.7
2022-02-22/17:00:04,23.8,993.0,1622.0,61.0,11.7
2022-02-22/17:00:05,23.8,993.0,1634.0,61.0,11.7
2022-02-22/17:00:06,23.8,993.0,1634.0,61.0,11.7
2022-02-22/17:00:07,23.8,993.0,1634.0,66.0,11.7
