time,tempce,luftfeucht,co2,laut,hell
2022-01-08/15:06:53,30.0,49.0,532.0,53.0,384.0
2022-01-08/15:06:54,31.0,49.0,539.0,53.0,383.0
2022-01-08/15:06:55,30.0,49.0,515.0,53.0,388.0
2022-01-08/15:06:56,30.0,48.0,512.0,55.0,383.0
2022-01-08/15:06:57,29.0,49.0,499.0,52.0,382.0
2022-01-08/15:06:58,30.0,50.0,504.0,48.0,382.0
2022-01-08/15:06:59,30.0,51.0,521.0,47.0,386.0
2022-01-08/15:07:00,31.0,52.0,533.0,52.0,383.0
2022-01-08/15:07:01,32.0,53.0,523.0,47.0,381.0
2022-01-08/15:07:02,33.0,52.0,546.0,52.0,377.0
2022-01-08/15:07:03,32.0,51.0,557.0,56.0,376.0
2022-01-08/15:07:04,33.0,51.0,580.0,55.0,377.0
2022-01-08/15:07:05,32.0,50.0,574.0,52.0,374.0
2022-01-08/15:07:06,31.0,51.0,568.0,56.0,372.0
2022-01-08/15:07:07,31.0,51.0,559.0,51.0,373.0
2022-01-08/15:07:08,32.0,50.0,576.0,47.0,369.0
2022-01-08/15:07:09,32.0,50.0,594.0,52.0,369.0
