time,tempce,luftdruck,co2,laut,hell
2022-08-24/22:16:20,23.1,999.0,2041.0,56.0,194.5
2022-08-24/22:16:21,23.1,999.0,2041.0,56.0,196.2
2022-08-24/22:16:22,23.1,999.0,2041.0,64.0,197.3
2022-08-24/22:16:23,23.1,999.0,2041.0,64.0,196.7
2022-08-24/22:16:24,23.1,999.0,2041.0,64.0,196.7
2022-08-24/22:16:25,23.1,999.0,2041.0,64.0,196.7
2022-08-24/22:16:27,23.1,999.0,2041.0,64.0,196.7
2022-08-24/22:16:28,23.1,999.0,2041.0,64.0,197.8
2022-08-24/22:16:29,23.1,999.0,2041.0,64.0,196.7
2022-08-24/22:16:30,23.1,999.0,2041.0,64.0,196.1
2022-08-24/22:16:31,23.1,999.0,2041.0,64.0,197.7
2022-08-24/22:16:32,23.1,999.0,2041.0,64.0,195.8
2022-08-24/22:16:33,23.2,999.0,2072.0,54.0,195.7
2022-08-24/22:16:34,23.2,999.0,2072.0,54.0,195.8
2022-08-24/22:16:35,23.2,999.0,2072.0,63.0,195.7
2022-08-24/22:16:36,23.2,999.0,2072.0,63.0,195.6
2022-08-24/22:16:38,23.2,999.0,2072.0,65.0,196.5
2022-08-24/22:16:39,23.2,999.0,2072.0,65.0,196.7
2022-08-24/22:16:40,23.2,999.0,2072.0,65.0,196.7
2022-08-24/22:16:41,23.2,999.0,2072.0,65.0,197.0
2022-08-24/22:16:42,23.2,999.0,2072.0,65.0,196.7
2022-08-24/22:16:43,23.2,999.0,2072.0,65.0,196.7
2022-08-24/22:16:44,23.2,999.0,2072.0,65.0,196.7
2022-08-24/22:16:45,23.2,999.0,2072.0,65.0,195.9
2022-08-24/22:16:46,23.2,999.0,2072.0,65.0,196.4
2022-08-24/22:16:47,23.2,999.0,2072.0,65.0,197.7
2022-08-24/22:16:48,23.3,999.0,2111.0,52.0,197.0
2022-08-24/22:16:50,23.3,999.0,2111.0,52.0,197.2
2022-08-24/22:16:51,23.3,999.0,2111.0,64.0,197.3
2022-08-24/22:16:52,23.3,999.0,2111.0,64.0,195.4
2022-08-24/22:16:53,23.3,999.0,2111.0,65.0,194.7
2022-08-24/22:16:54,23.3,999.0,2111.0,65.0,197.3
2022-08-24/22:16:55,23.3,999.0,2111.0,65.0,195.9
2022-08-24/22:16:56,23.3,999.0,2111.0,65.0,195.7
