time,tempce,luftfeucht,co2,laut,hell
2022-01-06/16:48:00,25,51.0,669.0,50.0,400
2022-01-06/16:48:02,25,51.0,669.0,50.0,400
2022-01-06/16:48:05,25,51.0,669.0,50.0,400
2022-01-06/16:48:09,25,51.0,669.0,50.0,400
2022-01-06/16:48:12,25,51.0,669.0,50.0,400
2022-01-06/16:48:15,25,51.0,669.0,50.0,400
2022-01-06/16:48:19,25,51.0,669.0,50.0,400
2022-01-06/16:48:21,25,51.0,669.0,50.0,400
2022-01-06/16:48:23,25,51.0,669.0,50.0,400
2022-01-06/16:48:25,25,51.0,669.0,50.0,400
2022-01-06/16:48:27,25,51.0,669.0,50.0,400
2022-01-06/16:48:29,25,51.0,669.0,50.0,400
2022-01-06/16:48:32,25,51.0,669.0,50.0,400
2022-01-06/16:48:36,25,51.0,669.0,50.0,400
