time,tempce,luftfeucht,co2,laut,hell
2022-01-08/15:41:33,25,51.0,669.0,50.0,400
2022-01-08/15:41:36,25,51.0,669.0,50.0,400
2022-01-08/15:41:38,23.58,987.9,1467.0,24.0,235.9
2022-01-08/15:41:40,23.58,987.9,1467.0,24.0,235.8
2022-01-08/15:41:41,23.58,987.9,1467.0,24.0,236.2
2022-01-08/15:41:42,23.58,987.9,1466.0,318.432,236.0
2022-01-08/15:41:43,23.58,987.9,1466.0,318.432,236.3
2022-01-08/15:41:44,23.58,987.9,1466.0,318.432,236.0
2022-01-08/15:41:45,23.58,987.9,1466.0,318.432,236.0
2022-01-08/15:41:47,23.58,987.9,1466.0,318.432,236.1
2022-01-08/15:41:48,23.58,987.9,1466.0,328.296,236.0
2022-01-08/15:41:49,23.58,987.9,1466.0,328.296,235.9
2022-01-08/15:41:50,23.58,987.9,1466.0,328.296,236.0
2022-01-08/15:41:51,23.58,987.9,1466.0,328.296,236.4
2022-01-08/15:41:52,23.58,987.9,1466.0,328.296,236.0
2022-01-08/15:41:54,23.59,987.9,1454.0,319.296,236.0
2022-01-08/15:41:55,23.59,987.9,1454.0,319.296,236.1
2022-01-08/15:41:56,23.59,987.9,1454.0,319.296,236.1
2022-01-08/15:41:57,23.59,987.9,1454.0,319.296,236.6
