time,tempce,luftdruck,co2,laut,hell
2022-02-22/18:29:28,24.0,992.0,2206.0,66.0,3.3
2022-02-22/18:29:29,24.0,992.0,2206.0,66.0,3.3
2022-02-22/18:29:30,24.0,992.0,2206.0,66.0,2.8
2022-02-22/18:29:31,24.0,992.0,2206.0,66.0,2.5
2022-02-22/18:29:33,24.0,992.0,2206.0,66.0,2.5
2022-02-22/18:29:34,24.0,992.0,2206.0,66.0,2.5
2022-02-22/18:29:35,24.0,992.0,2206.0,66.0,2.5
2022-02-22/18:29:36,24.0,992.0,2206.0,66.0,2.5
2022-02-22/18:29:37,24.0,992.0,2206.0,66.0,2.5
2022-02-22/18:29:38,24.0,992.0,2206.0,64.0,2.6
2022-02-22/18:29:39,24.0,992.0,2206.0,64.0,1.8
2022-02-22/18:29:40,24.0,992.0,2206.0,58.0,2.3
2022-02-22/18:29:41,24.0,992.0,2206.0,58.0,2.5
2022-02-22/18:29:42,24.0,992.0,2206.0,66.0,2.8
2022-02-22/18:29:43,24.0,992.0,2206.0,66.0,3.3
2022-02-22/18:29:45,24.0,992.0,2206.0,66.0,3.3
2022-02-22/18:29:46,24.0,992.0,2206.0,66.0,3.3
