time,tempce,luftfeucht,co2,laut,hell
2022-01-09/12:21:03,22.38,975.2999,1393.0,347.112,181.0
2022-01-09/12:21:04,22.38,975.2999,1393.0,347.112,181.0
2022-01-09/12:21:05,22.38,975.2999,1393.0,347.112,180.9
2022-01-09/12:21:06,22.38,975.4,1390.0,334.752,181.8
2022-01-09/12:21:07,22.38,975.4,1390.0,334.752,181.8
2022-01-09/12:21:08,22.38,975.4,1390.0,334.752,181.8
2022-01-09/12:21:10,22.38,975.4,1390.0,334.752,181.8
2022-01-09/12:21:11,22.38,975.4,1390.0,334.752,181.8
2022-01-09/12:21:12,22.38,975.4,1390.0,329.4,181.8
