time,tempce,luftfeucht,co2,laut,hell
2022-01-08/15:40:13,25,51.0,669.0,50.0,400
2022-01-08/15:40:15,25,51.0,669.0,50.0,400
2022-01-08/15:40:17,25,51.0,669.0,50.0,400
2022-01-08/15:40:19,25,51.0,669.0,50.0,400
2022-01-08/15:40:21,25,51.0,669.0,50.0,400
2022-01-08/15:40:23,25,51.0,669.0,50.0,400
2022-01-08/15:40:26,25,51.0,669.0,50.0,400
2022-01-08/15:40:28,25,51.0,669.0,50.0,400
2022-01-08/15:40:30,25,51.0,669.0,50.0,400
2022-01-08/15:40:32,25,51.0,669.0,50.0,400
2022-01-08/15:40:34,25,51.0,669.0,50.0,400
2022-01-08/15:40:36,25,51.0,669.0,50.0,400
2022-01-08/15:40:38,25,51.0,669.0,50.0,400
