time,tempce,luftfeucht,co2,laut,hell
2022-01-06/17:30:36,23.05,997.3,1087.0,23.736,210.3
2022-01-06/17:30:37,23.05,997.3,1087.0,23.736,210.6
2022-01-06/17:30:38,23.05,997.3,1087.0,23.736,210.6
2022-01-06/17:30:39,23.05,997.3,1087.0,23.904,210.6
2022-01-06/17:30:41,23.05,997.3,1087.0,23.904,210.6
2022-01-06/17:30:42,23.05,997.3,1087.0,23.904,210.6
2022-01-06/17:30:43,23.05,997.3,1087.0,23.904,210.6
2022-01-06/17:30:44,23.05,997.3,1087.0,23.904,210.6
2022-01-06/17:30:45,23.05,997.3,1088.0,23.712,210.6
2022-01-06/17:30:46,23.05,997.3,1088.0,23.712,210.6
2022-01-06/17:30:48,23.05,997.3,1088.0,23.712,210.7
2022-01-06/17:30:49,23.05,997.3,1088.0,23.712,210.8
2022-01-06/17:30:50,23.05,997.3,1088.0,23.712,210.8
2022-01-06/17:30:51,23.05,997.3,1088.0,23.928,210.8
2022-01-06/17:30:52,23.05,997.3,1088.0,23.928,210.6
2022-01-06/17:30:54,23.05,997.3,1088.0,23.928,211.5
2022-01-06/17:30:55,23.05,997.3,1088.0,23.928,210.7
2022-01-06/17:30:56,23.05,997.3,1088.0,23.928,210.7
