time,tempce,luftdruck,co2,laut,hell
2022-02-27/15:25:40,23.1,1013.0,1010.0,64.0,122.5
2022-02-27/15:25:41,23.1,1013.0,1010.0,64.0,122.5
2022-02-27/15:25:42,23.1,1013.0,1010.0,68.0,122.5
2022-02-27/15:25:43,23.1,1013.0,1010.0,68.0,120.0
2022-02-27/15:25:44,23.1,1013.0,1010.0,66.0,122.3
2022-02-27/15:25:45,23.1,1013.0,1010.0,66.0,122.5
2022-02-27/15:25:46,23.1,1013.0,1010.0,66.0,123.0
2022-02-27/15:25:47,23.1,1013.0,1010.0,66.0,122.5
2022-02-27/15:25:48,23.1,1013.0,1007.0,58.0,121.8
2022-02-27/15:25:49,23.1,1013.0,1007.0,58.0,121.8
2022-02-27/15:25:51,23.1,1013.0,1007.0,66.0,122.8
2022-02-27/15:25:52,23.1,1013.0,1007.0,66.0,122.5
2022-02-27/15:25:53,23.1,1013.0,1007.0,66.0,122.5
2022-02-27/15:25:54,23.1,1013.0,1007.0,66.0,122.5
2022-02-27/15:25:55,23.1,1013.0,1007.0,66.0,122.5
2022-02-27/15:25:56,23.1,1013.0,1007.0,66.0,122.4
2022-02-27/15:25:57,23.1,1013.0,1007.0,66.0,122.2
2022-02-27/15:25:58,23.1,1013.0,1007.0,66.0,122.0
2022-02-27/15:25:59,23.1,1013.0,1007.0,66.0,122.5
2022-02-27/15:26:00,23.1,1013.0,1007.0,66.0,122.3
2022-02-27/15:26:01,23.2,1013.0,1000.0,63.0,122.5
2022-02-27/15:26:03,23.2,1013.0,1000.0,63.0,122.5
2022-02-27/15:26:04,23.2,1013.0,1000.0,60.0,122.5
2022-02-27/15:26:05,23.2,1013.0,1000.0,60.0,122.5
2022-02-27/15:26:06,23.2,1013.0,1000.0,66.0,122.0
2022-02-27/15:26:07,23.2,1013.0,1000.0,66.0,121.9
2022-02-27/15:26:08,23.2,1013.0,1000.0,66.0,122.0
2022-02-27/15:26:09,23.2,1013.0,1000.0,66.0,122.3
2022-02-27/15:26:10,23.2,1013.0,1000.0,66.0,122.2
2022-02-27/15:26:11,23.2,1013.0,1000.0,66.0,122.2
2022-02-27/15:26:12,23.2,1013.0,1000.0,66.0,122.3
2022-02-27/15:26:14,23.2,1013.0,1000.0,66.0,123.9
2022-02-27/15:26:25,23.2,1013.0,1000.0,67.0,122.5
