time,tempce,luftfeucht,co2,laut,hell
2022-02-01/18:09:03,22.99,979.7,1492.0,60.0649,143.3333
2022-02-01/18:09:04,23.01,979.7,1495.0,54.44182,143.4375
2022-02-01/18:09:06,23.01,979.7,1495.0,54.44182,143.6458
2022-02-01/18:09:07,23.01,979.7,1495.0,54.44182,143.9583
2022-02-01/18:09:08,23.01,979.7,1495.0,64.50359,143.5417
2022-02-01/18:09:09,23.01,979.7,1495.0,64.50359,144.1666
2022-02-01/18:09:10,23.01,979.7,1495.0,64.50359,144.1666
2022-02-01/18:09:11,23.01,979.7,1495.0,62.96496,144.1666
2022-02-01/18:09:12,23.01,979.7,1495.0,62.96496,144.1666
2022-02-01/18:09:13,23.01,979.7,1495.0,62.96496,144.1666
2022-02-01/18:09:14,23.01,979.7,1495.0,64.76139,144.1666
