time,tempce,luftfeucht,co2,laut,hell
2022-01-06/16:48:57,22.68,996.7,1072.0,24.0,209.7
2022-01-06/16:48:59,22.68,996.7,1072.0,23.472,209.7
2022-01-06/16:49:00,22.68,996.7,1072.0,23.472,209.7
2022-01-06/16:49:01,22.68,996.7,1072.0,23.472,209.7
2022-01-06/16:49:02,22.68,996.7,1072.0,23.472,209.6
2022-01-06/16:49:03,22.68,996.7,1072.0,23.472,209.6
2022-01-06/16:49:05,22.57,996.7,1028.0,23.496,210.6
2022-01-06/16:49:06,22.57,996.7,1028.0,23.496,210.2
2022-01-06/16:49:07,22.57,996.7,1028.0,23.496,209.0
2022-01-06/16:49:08,22.57,996.7,1028.0,23.496,208.8
2022-01-06/16:49:09,22.57,996.7,1028.0,23.496,208.8
2022-01-06/16:49:10,22.57,996.7,1028.0,23.928,209.5
2022-01-06/16:49:12,22.57,996.7,1028.0,23.928,209.7
2022-01-06/16:49:13,22.57,996.7,1028.0,23.928,210.4
2022-01-06/16:49:14,22.57,996.7,1028.0,23.928,210.6
2022-01-06/16:49:15,22.57,996.7,1028.0,23.928,210.6
2022-01-06/16:49:16,22.28,996.7,966.0,23.496,210.6
2022-01-06/16:49:18,22.28,996.7,966.0,23.496,210.6
2022-01-06/16:49:19,22.28,996.7,966.0,23.496,210.5
2022-01-06/16:49:20,22.28,996.7,966.0,23.496,210.5
2022-01-06/16:49:21,22.28,996.7,966.0,23.496,210.6
2022-01-06/16:49:22,22.28,996.7,966.0,23.952,210.6
2022-01-06/16:49:23,22.28,996.7,966.0,23.952,210.6
2022-01-06/16:49:25,22.28,996.7,966.0,23.952,210.6
2022-01-06/16:49:26,22.28,996.7,966.0,23.952,210.6
2022-01-06/16:49:27,22.28,996.7,966.0,23.952,210.6
2022-01-06/16:49:28,22.28,996.7,966.0,23.712,210.6
2022-01-06/16:49:29,22.28,996.7,966.0,23.712,210.6
2022-01-06/16:49:30,22.28,996.7,966.0,23.712,210.6
2022-01-06/16:49:32,22.28,996.7,966.0,23.712,210.6
2022-01-06/16:49:33,22.28,996.7,966.0,23.712,210.6
2022-01-06/16:49:34,22.04,996.7,906.0,23.28,210.6
2022-01-06/16:49:35,22.04,996.7,906.0,23.28,210.6
2022-01-06/16:49:36,22.04,996.7,906.0,23.28,210.6
2022-01-06/16:49:38,22.04,996.7,906.0,23.28,210.0
2022-01-06/16:49:39,22.04,996.7,906.0,23.28,209.6
2022-01-06/16:49:40,22.04,996.7,906.0,24.192,209.3
2022-01-06/16:49:41,22.04,996.7,906.0,24.192,209.5
2022-01-06/16:49:42,22.04,996.7,906.0,24.192,210.2
2022-01-06/16:49:43,22.04,996.7,906.0,24.192,210.6
2022-01-06/16:49:45,22.04,996.7,906.0,24.192,210.6
2022-01-06/16:49:46,21.79,996.7,842.0,23.856,210.6
2022-01-06/16:49:47,21.79,996.7,842.0,23.856,210.6
2022-01-06/16:49:48,21.79,996.7,842.0,23.856,210.6
2022-01-06/16:49:49,21.79,996.7,842.0,23.856,210.6
2022-01-06/16:49:50,21.79,996.7,842.0,23.856,210.6
2022-01-06/16:49:52,21.79,996.7,842.0,24.024,210.6
2022-01-06/16:49:53,21.79,996.7,842.0,24.024,210.6
2022-01-06/16:49:54,21.79,996.7,842.0,24.024,210.6
2022-01-06/16:49:55,21.79,996.7,842.0,24.024,210.6
2022-01-06/16:49:56,21.79,996.7,842.0,24.024,210.6
2022-01-06/16:49:58,21.79,996.7,842.0,24.12,210.6
2022-01-06/16:49:59,21.79,996.7,842.0,24.12,210.6
2022-01-06/16:50:00,21.79,996.7,842.0,24.12,210.6
2022-01-06/16:50:01,21.79,996.7,842.0,24.12,210.6
2022-01-06/16:50:02,21.79,996.7,842.0,24.12,209.7
2022-01-06/16:50:03,21.56,996.7,783.0,23.928,209.7
2022-01-06/16:50:05,21.56,996.7,783.0,23.928,209.7
2022-01-06/16:50:06,21.56,996.7,783.0,23.928,210.5
