time,tempce,luftdruck,co2,laut,hell
2022-10-06/12:17:11,23.1,1017.0,1051.0,64.0,272.4
2022-10-06/12:17:12,23.1,1017.0,1051.0,64.0,265.3
2022-10-06/12:17:13,23.1,1017.0,1051.0,63.0,254.2
2022-10-06/12:17:14,23.1,1017.0,1051.0,63.0,258.9
2022-10-06/12:17:15,23.1,1017.0,1051.0,62.0,258.3
2022-10-06/12:17:16,23.1,1017.0,1051.0,62.0,251.5
2022-10-06/12:17:17,23.1,1017.0,1051.0,62.0,247.1
2022-10-06/12:17:18,23.1,1017.0,1051.0,62.0,241.8
2022-10-06/12:17:19,23.1,1017.0,1051.0,62.0,236.0
2022-10-06/12:17:20,23.1,1017.0,1051.0,62.0,240.8
2022-10-06/12:17:22,23.1,1017.0,1057.0,52.0,236.8
2022-10-06/12:17:23,23.1,1017.0,1057.0,52.0,221.8
2022-10-06/12:17:24,23.1,1017.0,1057.0,62.0,200.6
2022-10-06/12:17:25,23.1,1017.0,1057.0,62.0,176.8
2022-10-06/12:17:26,23.1,1017.0,1057.0,61.0,170.3
2022-10-06/12:17:27,23.1,1017.0,1057.0,61.0,182.4
2022-10-06/12:17:28,23.1,1017.0,1057.0,62.0,179.5
2022-10-06/12:17:29,23.1,1017.0,1057.0,62.0,174.3
2022-10-06/12:17:30,23.1,1017.0,1057.0,61.0,176.1
2022-10-06/12:17:31,23.1,1017.0,1057.0,61.0,203.2
2022-10-06/12:17:32,23.1,1017.0,1057.0,61.0,210.6
2022-10-06/12:17:34,23.1,1017.0,1057.0,61.0,190.7
2022-10-06/12:17:35,23.1,1017.0,1057.0,60.0,175.4
2022-10-06/12:17:36,23.1,1017.0,1057.0,60.0,146.8
2022-10-06/12:17:38,23.1,1017.0,1067.0,53.0,119.3
