time,tempce,luftfeucht,co2,laut,hell
2022-01-08/15:53:45,25,51.0,669.0,50.0,400
2022-01-08/15:53:48,25,51.0,669.0,50.0,400
2022-01-08/15:53:51,23.6,987.9,1534.0,24.0,230.4
2022-01-08/15:53:52,23.6,987.9,1534.0,24.0,230.4
2022-01-08/15:53:53,23.6,987.9,1534.0,24.0,230.4
2022-01-08/15:53:54,23.6,987.9,1530.0,327.0,230.4
2022-01-08/15:53:56,23.6,987.9,1530.0,327.0,230.4
2022-01-08/15:53:57,23.6,987.9,1530.0,327.0,230.4
2022-01-08/15:53:58,23.6,987.9,1530.0,327.0,230.4
2022-01-08/15:53:59,23.6,987.9,1530.0,327.0,230.4
2022-01-08/15:54:00,23.6,987.9,1530.0,327.912,230.4
2022-01-08/15:54:01,23.6,987.9,1530.0,327.912,230.4
2022-01-08/15:54:03,23.6,987.9,1530.0,327.912,230.4
2022-01-08/15:54:04,23.6,987.9,1530.0,327.912,230.4
2022-01-08/15:54:05,23.6,987.9,1530.0,327.912,230.4
2022-01-08/15:54:06,23.6,987.9,1530.0,324.216,230.4
2022-01-08/15:54:07,23.6,987.9,1530.0,324.216,230.4
