time,tempce,luftfeucht,co2,laut,hell
2022-01-08/23:08:18,25,51.0,669.0,50.0,400
2022-01-08/23:08:21,25,51.0,669.0,50.0,400
2022-01-08/23:08:24,23.23,981.9,2456.0,24.0,226.8
2022-01-08/23:08:25,23.23,981.9,2456.0,24.0,226.7
2022-01-08/23:08:26,23.23,981.9,2456.0,24.0,226.8
2022-01-08/23:08:28,23.24,981.9,2444.0,339.504,229.0
2022-01-08/23:08:29,23.24,981.9,2444.0,339.504,230.1
2022-01-08/23:08:30,23.24,981.9,2444.0,339.504,230.4
2022-01-08/23:08:31,23.24,981.9,2444.0,339.504,230.4
2022-01-08/23:08:32,23.24,981.9,2444.0,339.504,230.4
2022-01-08/23:08:33,23.24,981.9,2444.0,330.336,230.4
2022-01-08/23:08:35,23.24,981.9,2444.0,330.336,230.4
2022-01-08/23:08:36,23.24,981.9,2444.0,330.336,230.4
2022-01-08/23:08:37,23.24,981.9,2444.0,330.336,230.4
2022-01-08/23:08:38,23.24,981.9,2444.0,330.336,230.4
2022-01-08/23:08:39,23.25,981.9,2452.0,328.632,229.8
2022-01-08/23:08:40,23.25,981.9,2452.0,328.632,229.8
2022-01-08/23:08:42,23.25,981.9,2452.0,328.632,229.8
2022-01-08/23:08:43,23.25,981.9,2452.0,328.632,230.1
2022-01-08/23:08:44,23.25,981.9,2452.0,328.632,230.4
2022-01-08/23:08:45,23.25,981.9,2452.0,336.048,230.4
2022-01-08/23:08:46,23.25,981.9,2452.0,336.048,228.8
2022-01-08/23:08:48,23.25,981.9,2452.0,336.048,226.8
2022-01-08/23:08:49,23.25,981.9,2452.0,336.048,227.1
2022-01-08/23:08:50,23.25,981.9,2452.0,336.048,227.7
2022-01-08/23:08:51,23.25,981.9,2452.0,331.464,227.7
2022-01-08/23:08:52,23.25,981.9,2452.0,331.464,227.7
2022-01-08/23:08:53,23.25,981.9,2452.0,331.464,227.5
2022-01-08/23:08:55,23.25,981.9,2452.0,331.464,227.6
2022-01-08/23:08:56,23.25,981.9,2452.0,331.464,227.7
2022-01-08/23:08:57,23.22,981.9,2441.0,329.184,227.1
2022-01-08/23:08:58,23.22,981.9,2441.0,329.184,225.9
2022-01-08/23:08:59,23.22,981.9,2441.0,329.184,226.1
2022-01-08/23:09:01,23.22,981.9,2441.0,329.184,226.4
2022-01-08/23:09:02,23.22,981.9,2441.0,329.184,226.4
2022-01-08/23:09:03,23.22,981.9,2441.0,320.88,226.5
2022-01-08/23:09:04,23.22,981.9,2441.0,320.88,226.2
2022-01-08/23:09:05,23.22,981.9,2441.0,320.88,226.3
2022-01-08/23:09:06,23.22,981.9,2441.0,320.88,226.3
2022-01-08/23:09:08,23.22,981.9,2441.0,320.88,226.9
2022-01-08/23:09:09,23.26,981.9,2437.0,344.088,226.8
2022-01-08/23:09:10,23.26,981.9,2437.0,344.088,226.8
2022-01-08/23:09:11,23.26,981.9,2437.0,344.088,226.7
2022-01-08/23:09:12,23.26,981.9,2437.0,344.088,226.5
2022-01-08/23:09:13,23.26,981.9,2437.0,344.088,226.5
2022-01-08/23:09:15,23.26,981.9,2437.0,333.768,226.4
2022-01-08/23:09:16,23.26,981.9,2437.0,333.768,226.8
2022-01-08/23:09:17,23.26,981.9,2437.0,333.768,226.8
2022-01-08/23:09:18,23.26,981.9,2437.0,333.768,226.7
2022-01-08/23:09:19,23.26,981.9,2437.0,333.768,224.5
2022-01-08/23:09:21,23.26,981.9,2437.0,334.152,214.7
2022-01-08/23:09:22,23.26,981.9,2437.0,334.152,215.0
2022-01-08/23:09:23,23.26,981.9,2437.0,334.152,226.9
2022-01-08/23:09:24,23.26,981.9,2437.0,334.152,227.6
2022-01-08/23:09:25,23.26,981.9,2437.0,334.152,227.5
2022-01-08/23:09:26,23.28,981.9,2434.0,337.512,226.0
2022-01-08/23:09:28,23.28,981.9,2434.0,337.512,226.0
2022-01-08/23:09:29,23.28,981.9,2434.0,337.512,226.1
2022-01-08/23:09:30,23.28,981.9,2434.0,337.512,226.7
2022-01-08/23:09:31,23.28,981.9,2434.0,337.512,226.3
2022-01-08/23:09:32,23.28,981.9,2434.0,334.248,226.0
2022-01-08/23:09:34,23.28,981.9,2434.0,334.248,226.1
2022-01-08/23:09:35,23.28,981.9,2434.0,334.248,225.9
2022-01-08/23:09:36,23.28,981.9,2434.0,334.248,229.9
2022-01-08/23:09:37,23.28,981.9,2434.0,334.248,230.4
2022-01-08/23:09:38,23.31,981.8,2438.0,320.208,229.2
2022-01-08/23:09:39,23.31,981.8,2438.0,320.208,226.8
2022-01-08/23:09:41,23.31,981.8,2438.0,320.208,226.8
2022-01-08/23:09:42,23.31,981.8,2438.0,320.208,226.8
2022-01-08/23:09:43,23.31,981.8,2438.0,320.208,226.8
2022-01-08/23:09:44,23.31,981.8,2438.0,340.104,226.5
2022-01-08/23:09:45,23.31,981.8,2438.0,340.104,226.1
2022-01-08/23:09:46,23.31,981.8,2438.0,340.104,226.0
2022-01-08/23:09:48,23.31,981.8,2438.0,340.104,227.6
2022-01-08/23:09:49,23.31,981.8,2438.0,340.104,230.4
2022-01-08/23:09:50,23.31,981.8,2438.0,336.24,230.4
2022-01-08/23:09:51,23.31,981.8,2438.0,336.24,229.6
2022-01-08/23:09:52,23.31,981.8,2438.0,336.24,226.5
2022-01-08/23:09:54,23.31,981.8,2438.0,336.24,226.8
2022-01-08/23:09:55,23.31,981.8,2438.0,336.24,226.8
2022-01-08/23:09:56,23.26,981.9,2445.0,331.872,226.8
2022-01-08/23:09:57,23.26,981.9,2445.0,331.872,228.0
2022-01-08/23:09:58,23.26,981.9,2445.0,331.872,230.4
2022-01-08/23:09:59,23.26,981.9,2445.0,331.872,230.4
2022-01-08/23:10:01,23.26,981.9,2445.0,331.872,227.6
2022-01-08/23:10:02,23.26,981.9,2445.0,328.368,226.8
2022-01-08/23:10:03,23.26,981.9,2445.0,328.368,226.8
2022-01-08/23:10:04,23.26,981.9,2445.0,328.368,226.8
2022-01-08/23:10:05,23.26,981.9,2445.0,328.368,226.8
2022-01-08/23:10:06,23.26,981.9,2445.0,328.368,227.1
2022-01-08/23:10:08,23.26,981.9,2445.0,335.352,227.7
2022-01-08/23:10:09,23.26,981.9,2445.0,335.352,227.7
2022-01-08/23:10:10,23.26,981.9,2445.0,335.352,227.7
2022-01-08/23:10:11,23.26,981.9,2445.0,335.352,227.7
2022-01-08/23:10:12,23.26,981.9,2445.0,335.352,229.8
2022-01-08/23:10:14,23.26,981.9,2445.0,337.92,230.4
2022-01-08/23:10:15,23.26,981.9,2445.0,337.92,230.4
2022-01-08/23:10:16,23.26,981.9,2445.0,337.92,230.4
2022-01-08/23:10:17,23.26,981.9,2445.0,337.92,230.4
2022-01-08/23:10:18,23.26,981.9,2445.0,337.92,230.4
2022-01-08/23:10:19,23.26,981.9,2445.0,323.544,230.4
2022-01-08/23:10:21,23.26,981.9,2445.0,323.544,230.1
2022-01-08/23:10:22,23.26,981.9,2445.0,323.544,230.4
2022-01-08/23:10:23,23.26,981.9,2445.0,323.544,230.4
2022-01-08/23:10:24,23.26,981.9,2445.0,323.544,230.4
2022-01-08/23:10:25,23.25,981.8,2447.0,328.248,230.4
2022-01-08/23:10:26,23.25,981.8,2447.0,328.248,230.4
2022-01-08/23:10:28,23.25,981.8,2447.0,328.248,230.4
2022-01-08/23:10:29,23.25,981.8,2447.0,328.248,230.4
2022-01-08/23:10:30,23.25,981.8,2447.0,328.248,230.4
2022-01-08/23:10:31,23.25,981.8,2447.0,337.272,230.4
2022-01-08/23:10:32,23.25,981.8,2447.0,337.272,227.6
2022-01-08/23:10:34,23.25,981.8,2447.0,337.272,227.2
2022-01-08/23:10:35,23.25,981.8,2447.0,337.272,226.8
2022-01-08/23:10:36,23.25,981.8,2447.0,337.272,226.8
2022-01-08/23:10:37,23.25,981.8,2447.0,341.304,230.0
2022-01-08/23:10:38,23.25,981.8,2447.0,341.304,230.4
2022-01-08/23:10:39,23.25,981.8,2447.0,341.304,230.4
2022-01-08/23:10:41,23.25,981.8,2447.0,341.304,230.4
2022-01-08/23:10:42,23.25,981.8,2447.0,341.304,230.4
2022-01-08/23:10:43,23.28,981.8,2454.0,331.656,230.4
2022-01-08/23:10:44,23.28,981.8,2454.0,331.656,230.4
2022-01-08/23:10:45,23.28,981.8,2454.0,331.656,230.4
2022-01-08/23:10:46,23.28,981.8,2454.0,331.656,230.4
2022-01-08/23:10:48,23.28,981.8,2454.0,331.656,230.4
2022-01-08/23:10:49,23.28,981.8,2454.0,325.2,230.4
2022-01-08/23:10:50,23.28,981.8,2454.0,325.2,230.4
2022-01-08/23:10:51,23.28,981.8,2454.0,325.2,230.4
2022-01-08/23:10:52,23.28,981.8,2454.0,325.2,230.4
2022-01-08/23:10:53,23.28,981.8,2454.0,325.2,230.4
2022-01-08/23:10:55,23.24,981.8,2456.0,337.44,230.4
2022-01-08/23:10:56,23.24,981.8,2456.0,337.44,230.4
2022-01-08/23:10:57,23.24,981.8,2456.0,337.44,230.4
2022-01-08/23:10:58,23.24,981.8,2456.0,337.44,230.4
2022-01-08/23:10:59,23.24,981.8,2456.0,337.44,230.4
2022-01-08/23:11:01,23.24,981.8,2456.0,329.28,230.4
2022-01-08/23:11:02,23.24,981.8,2456.0,329.28,230.4
2022-01-08/23:11:03,23.24,981.8,2456.0,329.28,230.4
2022-01-08/23:11:04,23.24,981.8,2456.0,329.28,230.4
2022-01-08/23:11:05,23.24,981.8,2456.0,329.28,230.4
2022-01-08/23:11:06,23.24,981.8,2456.0,328.824,230.4
2022-01-08/23:11:08,23.24,981.8,2456.0,328.824,230.4
2022-01-08/23:11:09,23.24,981.8,2456.0,328.824,230.4
2022-01-08/23:11:10,23.24,981.8,2456.0,328.824,230.4
2022-01-08/23:11:11,23.24,981.8,2456.0,328.824,230.4
2022-01-08/23:11:12,23.24,981.8,2452.0,332.808,230.4
2022-01-08/23:11:13,23.24,981.8,2452.0,332.808,229.5
2022-01-08/23:11:15,23.24,981.8,2452.0,332.808,228.0
2022-01-08/23:11:16,23.24,981.8,2452.0,332.808,230.1
2022-01-08/23:11:17,23.24,981.8,2452.0,332.808,230.1
2022-01-08/23:11:18,23.24,981.8,2452.0,342.264,230.1
2022-01-08/23:11:19,23.24,981.8,2452.0,342.264,230.4
2022-01-08/23:11:21,23.24,981.8,2452.0,342.264,230.4
2022-01-08/23:11:22,23.24,981.8,2452.0,342.264,230.4
2022-01-08/23:11:23,23.24,981.8,2452.0,342.264,230.4
2022-01-08/23:11:24,23.24,981.8,2445.0,325.32,230.4
2022-01-08/23:11:25,23.24,981.8,2445.0,325.32,230.4
2022-01-08/23:11:26,23.24,981.8,2445.0,325.32,230.1
2022-01-08/23:11:28,23.24,981.8,2445.0,325.32,229.5
2022-01-08/23:11:29,23.24,981.8,2445.0,325.32,229.8
2022-01-08/23:11:30,23.24,981.8,2445.0,344.232,229.5
2022-01-08/23:11:31,23.24,981.8,2445.0,344.232,228.9
2022-01-08/23:11:32,23.24,981.8,2445.0,344.232,228.9
2022-01-08/23:11:33,23.24,981.8,2445.0,344.232,229.8
2022-01-08/23:11:35,23.24,981.8,2445.0,344.232,230.1
2022-01-08/23:11:36,23.24,981.8,2445.0,323.16,228.9
2022-01-08/23:11:37,23.24,981.8,2445.0,323.16,230.1
2022-01-08/23:11:38,23.24,981.8,2445.0,323.16,230.4
2022-01-08/23:11:39,23.24,981.8,2445.0,323.16,230.4
2022-01-08/23:11:40,23.24,981.8,2445.0,323.16,230.4
2022-01-08/23:11:42,23.23,981.8,2443.0,327.72,230.4
2022-01-08/23:11:43,23.23,981.8,2443.0,327.72,230.4
2022-01-08/23:11:44,23.23,981.8,2443.0,327.72,230.4
2022-01-08/23:11:45,23.23,981.8,2443.0,327.72,230.4
2022-01-08/23:11:46,23.23,981.8,2443.0,327.72,230.4
2022-01-08/23:11:48,23.23,981.8,2443.0,333.984,230.4
2022-01-08/23:11:49,23.23,981.8,2443.0,333.984,230.4
2022-01-08/23:11:50,23.23,981.8,2443.0,333.984,230.4
2022-01-08/23:11:51,23.23,981.8,2443.0,333.984,230.4
2022-01-08/23:11:52,23.23,981.8,2443.0,333.984,230.4
2022-01-08/23:11:53,23.26,981.8,2430.0,339.648,230.4
2022-01-08/23:11:55,23.26,981.8,2430.0,339.648,230.4
2022-01-08/23:11:56,23.26,981.8,2430.0,339.648,230.4
2022-01-08/23:11:57,23.26,981.8,2430.0,339.648,230.4
2022-01-08/23:11:58,23.26,981.8,2430.0,339.648,230.4
2022-01-08/23:11:59,23.26,981.8,2430.0,328.44,230.4
2022-01-08/23:12:00,23.26,981.8,2430.0,328.44,230.4
2022-01-08/23:12:02,23.26,981.8,2430.0,328.44,230.4
2022-01-08/23:12:03,23.26,981.8,2430.0,328.44,230.4
2022-01-08/23:12:04,23.26,981.8,2430.0,328.44,230.4
2022-01-08/23:12:05,23.26,981.8,2430.0,340.536,230.4
2022-01-08/23:12:06,23.26,981.8,2430.0,340.536,230.4
2022-01-08/23:12:08,23.26,981.8,2430.0,340.536,230.4
2022-01-08/23:12:09,23.26,981.8,2430.0,340.536,230.4
2022-01-08/23:12:10,23.26,981.8,2430.0,340.536,230.4
2022-01-08/23:12:11,23.24,981.8,2423.0,323.232,230.4
2022-01-08/23:12:12,23.24,981.8,2423.0,323.232,230.4
2022-01-08/23:12:13,23.24,981.8,2423.0,323.232,230.4
2022-01-08/23:12:15,23.24,981.8,2423.0,323.232,230.4
2022-01-08/23:12:16,23.24,981.8,2423.0,323.232,230.4
2022-01-08/23:12:17,23.24,981.8,2423.0,330.0,230.4
2022-01-08/23:12:18,23.24,981.8,2423.0,330.0,230.4
2022-01-08/23:12:19,23.24,981.8,2423.0,330.0,230.4
2022-01-08/23:12:20,23.24,981.8,2423.0,330.0,230.4
2022-01-08/23:12:22,23.24,981.8,2423.0,330.0,230.4
2022-01-08/23:12:23,23.28,981.8,2426.0,348.792,230.4
2022-01-08/23:12:24,23.28,981.8,2426.0,348.792,229.6
2022-01-08/23:12:25,23.28,981.8,2426.0,348.792,226.8
2022-01-08/23:12:26,23.28,981.8,2426.0,348.792,226.8
2022-01-08/23:12:27,23.28,981.8,2426.0,348.792,227.5
2022-01-08/23:12:29,23.28,981.8,2426.0,314.136,227.7
2022-01-08/23:12:30,23.28,981.8,2426.0,314.136,227.0
2022-01-08/23:12:31,23.28,981.8,2426.0,314.136,226.8
2022-01-08/23:12:32,23.28,981.8,2426.0,314.136,226.8
2022-01-08/23:12:33,23.28,981.8,2426.0,314.136,227.5
2022-01-08/23:12:35,23.28,981.8,2426.0,358.8,227.1
2022-01-08/23:12:36,23.28,981.8,2426.0,358.8,227.2
2022-01-08/23:12:37,23.28,981.8,2426.0,358.8,229.5
2022-01-08/23:12:38,23.28,981.8,2426.0,358.8,227.3
