time,tempce,luftdruck,co2,laut,hell
2022-08-18/19:37:50,27.3,987.0,2813.0,62.0,19.7
2022-08-18/19:37:51,27.3,987.0,2813.0,62.0,19.7
2022-08-18/19:37:52,27.3,987.0,2813.0,62.0,19.9
2022-08-18/19:37:54,27.3,987.0,2813.0,62.0,19.8
2022-08-18/19:37:55,27.3,987.0,2813.0,63.0,20.0
2022-08-18/19:37:56,27.3,987.0,2813.0,63.0,19.8
2022-08-18/19:37:57,27.3,987.0,2811.0,55.0,19.6
2022-08-18/19:37:58,27.3,987.0,2811.0,55.0,19.5
2022-08-18/19:37:59,27.3,987.0,2811.0,65.0,19.7
2022-08-18/19:38:00,27.3,987.0,2811.0,65.0,19.9
2022-08-18/19:38:01,27.3,987.0,2811.0,65.0,19.7
2022-08-18/19:38:02,27.3,987.0,2811.0,65.0,19.7
2022-08-18/19:38:03,27.3,987.0,2811.0,65.0,19.7
2022-08-18/19:38:04,27.3,987.0,2811.0,65.0,19.7
2022-08-18/19:38:06,27.3,987.0,2811.0,65.0,19.8
2022-08-18/19:38:07,27.3,987.0,2811.0,65.0,19.6
2022-08-18/19:38:08,27.3,987.0,2811.0,65.0,19.8
2022-08-18/19:38:09,27.3,987.0,2811.0,65.0,19.6
2022-08-18/19:38:10,27.3,987.0,2811.0,65.0,19.9
2022-08-18/19:38:11,27.3,987.0,2811.0,65.0,19.4
2022-08-18/19:38:12,27.3,987.0,2791.0,53.0,19.4
2022-08-18/19:38:13,27.3,987.0,2791.0,53.0,19.3
2022-08-18/19:38:14,27.3,987.0,2791.0,65.0,19.5
2022-08-18/19:38:15,27.3,987.0,2791.0,65.0,8.3
2022-08-18/19:38:17,27.3,987.0,2791.0,65.0,17.4
2022-08-18/19:38:18,27.3,987.0,2791.0,65.0,20.2
2022-08-18/19:38:19,27.3,987.0,2791.0,65.0,20.7
2022-08-18/19:38:20,27.3,987.0,2791.0,65.0,20.6
2022-08-18/19:38:21,27.3,987.0,2791.0,65.0,20.5
2022-08-18/19:38:22,27.3,987.0,2791.0,65.0,20.4
2022-08-18/19:38:23,27.3,987.0,2791.0,65.0,20.3
2022-08-18/19:38:24,27.3,987.0,2791.0,65.0,20.5
2022-08-18/19:38:25,27.3,987.0,2791.0,62.0,20.3
2022-08-18/19:38:26,27.3,987.0,2791.0,62.0,20.4
2022-08-18/19:38:27,27.3,987.0,2788.0,56.0,20.6
2022-08-18/19:38:29,27.3,987.0,2788.0,56.0,20.0
