time,tempce,luftdruck,co2,laut,hell
2022-10-06/13:16:29,24.0,1017.0,1280.0,65.0,402.7
2022-10-06/13:16:30,24.0,1017.0,1280.0,65.0,403.1
2022-10-06/13:16:31,24.0,1017.0,1280.0,63.0,403.3
2022-10-06/13:16:32,24.0,1017.0,1280.0,63.0,403.1
2022-10-06/13:16:33,24.0,1017.0,1280.0,57.0,403.1
2022-10-06/13:16:34,24.0,1017.0,1280.0,57.0,402.6
2022-10-06/13:16:35,24.0,1017.0,1284.0,58.0,402.1
2022-10-06/13:16:36,24.0,1017.0,1284.0,58.0,402.0
2022-10-06/13:16:38,24.0,1017.0,1284.0,62.0,401.7
2022-10-06/13:16:39,24.0,1017.0,1284.0,62.0,401.2
2022-10-06/13:16:40,24.0,1017.0,1284.0,63.0,399.5
2022-10-06/13:16:41,24.0,1017.0,1284.0,63.0,404.9
2022-10-06/13:16:42,24.0,1017.0,1284.0,63.0,409.0
2022-10-06/13:16:43,24.0,1017.0,1284.0,63.0,409.3
