time,tempce,luftdruck,co2,laut,hell
2022-08-18/18:16:10,25.8,988.0,2286.0,65.0,45.0
2022-08-18/18:16:11,25.8,988.0,2286.0,65.0,45.0
2022-08-18/18:16:12,25.8,988.0,2286.0,65.0,45.0
2022-08-18/18:16:13,25.8,988.0,2286.0,65.0,45.3
2022-08-18/18:16:14,25.8,988.0,2286.0,65.0,45.8
2022-08-18/18:16:15,25.8,988.0,2286.0,65.0,45.8
2022-08-18/18:16:16,25.8,988.0,2286.0,65.0,45.8
2022-08-18/18:16:17,25.8,988.0,2286.0,65.0,45.8
2022-08-18/18:16:19,25.8,988.0,2286.0,65.0,45.8
2022-08-18/18:16:20,25.8,988.0,2292.0,56.0,45.8
2022-08-18/18:16:21,25.8,988.0,2292.0,56.0,45.8
2022-08-18/18:16:22,25.8,988.0,2292.0,65.0,45.8
2022-08-18/18:16:23,25.8,988.0,2292.0,65.0,45.8
2022-08-18/18:16:29,25.8,988.0,2292.0,65.0,45.8
