time,tempce,luftfeucht,co2,laut,hell
2022-01-08/14:28:41,25,51.0,669.0,50.0,400
2022-01-08/14:28:44,25,51.0,669.0,50.0,400
2022-01-08/14:28:47,25,51.0,669.0,50.0,400
2022-01-08/14:28:51,25,51.0,669.0,50.0,400
2022-01-08/14:28:54,25,51.0,669.0,50.0,400
2022-01-08/14:28:57,25,51.0,669.0,50.0,400
2022-01-08/14:29:01,25,51.0,669.0,50.0,400
2022-01-08/14:29:04,25,51.0,669.0,50.0,400
2022-01-08/14:29:07,25,51.0,669.0,50.0,400
2022-01-08/14:29:11,25,51.0,669.0,50.0,400
2022-01-08/14:29:14,25,51.0,669.0,50.0,400
2022-01-08/14:29:16,25,51.0,669.0,50.0,400
2022-01-08/14:29:19,25,51.0,669.0,50.0,400
