time,tempce,luftfeucht,co2,laut,hell
2022-01-06/17:52:48,23.4,997.3,1316.0,24.0,213.6
2022-01-06/17:52:50,23.4,997.3,1317.0,23.904,214.2
2022-01-06/17:52:51,23.4,997.3,1317.0,23.904,214.2
2022-01-06/17:52:52,23.4,997.3,1317.0,23.904,214.2
2022-01-06/17:52:53,23.4,997.3,1317.0,23.904,214.2
2022-01-06/17:52:54,23.4,997.3,1317.0,23.904,214.2
2022-01-06/17:52:55,23.4,997.3,1317.0,23.88,214.2
2022-01-06/17:52:57,23.4,997.3,1317.0,23.88,214.2
2022-01-06/17:52:58,23.4,997.3,1317.0,23.88,214.2
2022-01-06/17:52:59,23.4,997.3,1317.0,23.88,214.2
2022-01-06/17:53:00,23.4,997.3,1317.0,23.88,214.2
2022-01-06/17:53:01,23.39,997.3,1321.0,23.832,214.2
2022-01-06/17:53:02,23.39,997.3,1321.0,23.832,214.2
2022-01-06/17:53:04,23.39,997.3,1321.0,23.832,214.2
2022-01-06/17:53:05,23.39,997.3,1321.0,23.832,214.2
2022-01-06/17:53:06,23.39,997.3,1321.0,23.832,214.2
2022-01-06/17:53:07,23.39,997.3,1321.0,23.976,214.2
2022-01-06/17:53:08,23.39,997.3,1321.0,23.976,214.2
