time,tempce,luftfeucht,co2,laut,hell
2022-01-31/17:59:09,23.8,982.4,2118.0,65.89135,156.7708
2022-01-31/17:59:10,23.8,982.4,2118.0,65.89135,157.5
2022-01-31/17:59:11,23.8,982.4,2118.0,65.89135,157.5
2022-01-31/17:59:12,23.8,982.4,2118.0,65.99007,157.5
2022-01-31/17:59:13,23.8,982.4,2118.0,65.99007,157.5
2022-01-31/17:59:14,23.8,982.4,2118.0,65.99007,157.5
2022-01-31/17:59:15,23.8,982.4,2115.0,59.17717,157.5
2022-01-31/17:59:16,23.8,982.4,2115.0,59.17717,157.5
2022-01-31/17:59:18,23.8,982.4,2115.0,59.17717,157.5
2022-01-31/17:59:19,23.8,982.4,2115.0,66.08523,157.5
2022-01-31/17:59:20,23.8,982.4,2115.0,66.08523,157.5
2022-01-31/17:59:21,23.8,982.4,2115.0,66.08523,157.5
2022-01-31/17:59:22,23.8,982.4,2115.0,66.08721,157.5
2022-01-31/17:59:23,23.8,982.4,2115.0,66.08721,157.5
2022-01-31/17:59:24,23.8,982.4,2115.0,66.08721,157.5
2022-01-31/17:59:25,23.8,982.4,2115.0,66.29336,157.5
2022-01-31/17:59:26,23.8,982.4,2115.0,66.29336,157.5
2022-01-31/17:59:27,23.8,982.4,2115.0,66.29336,157.5
2022-01-31/17:59:28,23.8,982.3,2110.0,58.3702,157.5
2022-01-31/17:59:30,23.8,982.3,2110.0,58.3702,157.5
2022-01-31/17:59:31,23.8,982.3,2110.0,58.3702,157.5
2022-01-31/17:59:32,23.8,982.3,2110.0,66.16465,157.5
2022-01-31/17:59:33,23.8,982.3,2110.0,66.16465,157.5
2022-01-31/17:59:34,23.8,982.3,2110.0,66.16465,157.5
2022-01-31/17:59:35,23.8,982.3,2110.0,64.21185,157.5
2022-01-31/17:59:36,23.8,982.3,2110.0,64.21185,157.5
2022-01-31/17:59:37,23.8,982.3,2110.0,64.21185,157.5
2022-01-31/17:59:38,23.8,982.3,2110.0,66.09323,157.5
2022-01-31/17:59:39,23.8,982.3,2110.0,66.09323,157.5
2022-01-31/17:59:40,23.8,982.3,2110.0,66.09323,157.5
2022-01-31/17:59:42,23.8,982.3,2110.0,66.2136,157.5
2022-01-31/17:59:43,23.8,982.3,2110.0,66.2136,157.5
2022-01-31/17:59:44,23.8,982.3,2110.0,66.2136,157.5
2022-01-31/17:59:45,23.81,982.4,2107.0,59.66705,157.5
2022-01-31/17:59:46,23.81,982.4,2107.0,59.66705,157.5
2022-01-31/17:59:47,23.81,982.4,2107.0,59.66705,157.5
2022-01-31/17:59:48,23.81,982.4,2107.0,66.24607,157.5
2022-01-31/17:59:49,23.81,982.4,2107.0,66.24607,157.5
2022-01-31/17:59:50,23.81,982.4,2107.0,66.24607,157.5
2022-01-31/17:59:51,23.81,982.4,2107.0,65.87284,157.5
2022-01-31/17:59:52,23.81,982.4,2107.0,65.87284,157.5
2022-01-31/17:59:54,23.81,982.4,2107.0,65.87284,157.5
2022-01-31/17:59:55,23.81,982.4,2107.0,66.06507,156.9791
2022-01-31/17:59:56,23.81,982.4,2107.0,66.06507,156.6666
2022-01-31/17:59:57,23.81,982.4,2107.0,66.06507,156.6666
2022-01-31/17:59:58,23.8,982.4,2105.0,63.63048,157.1875
2022-01-31/17:59:59,23.8,982.4,2105.0,63.63048,157.5
2022-01-31/18:00:00,23.8,982.4,2105.0,63.63048,157.7083
2022-01-31/18:00:01,23.8,982.4,2105.0,61.52473,157.3958
2022-01-31/18:00:02,23.8,982.4,2105.0,61.52473,157.5
2022-01-31/18:00:03,23.8,982.4,2105.0,61.52473,157.5
2022-01-31/18:00:04,23.8,982.4,2105.0,66.09354,157.5
2022-01-31/18:00:06,23.8,982.4,2105.0,66.09354,157.5
2022-01-31/18:00:07,23.8,982.4,2105.0,66.09354,157.5
2022-01-31/18:00:08,23.8,982.4,2105.0,66.19237,157.5
2022-01-31/18:00:09,23.8,982.4,2105.0,66.19237,157.5
2022-01-31/18:00:10,23.8,982.4,2105.0,66.19237,157.5
2022-01-31/18:00:11,23.8,982.4,2105.0,66.08918,157.5
2022-01-31/18:00:12,23.8,982.4,2105.0,66.08918,157.5
2022-01-31/18:00:13,23.8,982.4,2105.0,66.08918,157.5
2022-01-31/18:00:14,23.83,982.4,2109.0,59.4179,157.5
2022-01-31/18:00:15,23.83,982.4,2109.0,59.4179,157.5
2022-01-31/18:00:17,23.83,982.4,2109.0,59.4179,157.5
2022-01-31/18:00:18,23.83,982.4,2109.0,66.32175,157.5
2022-01-31/18:00:19,23.83,982.4,2109.0,66.32175,157.5
2022-01-31/18:00:20,23.83,982.4,2109.0,66.32175,157.5
2022-01-31/18:00:21,23.83,982.4,2109.0,63.99937,157.5
2022-01-31/18:00:22,23.83,982.4,2109.0,63.99937,157.5
2022-01-31/18:00:23,23.83,982.4,2109.0,63.99937,157.5
2022-01-31/18:00:24,23.83,982.4,2109.0,65.933,157.5
2022-01-31/18:00:25,23.83,982.4,2109.0,65.933,157.5
