time,tempce,luftdruck,co2,laut,hell
2022-02-23/15:59:17,23.4,1002.0,1720.0,65.0,76.7
2022-02-23/15:59:18,23.4,1002.0,1725.0,54.0,76.0
2022-02-23/15:59:19,23.4,1002.0,1725.0,54.0,75.8
2022-02-23/15:59:20,23.4,1002.0,1725.0,65.0,75.6
2022-02-23/15:59:21,23.4,1002.0,1725.0,65.0,75.1
2022-02-23/15:59:23,23.4,1002.0,1725.0,65.0,74.3
2022-02-23/15:59:24,23.4,1002.0,1725.0,65.0,73.6
2022-02-23/15:59:25,23.4,1002.0,1725.0,65.0,73.3
2022-02-23/15:59:26,23.4,1002.0,1725.0,65.0,74.8
2022-02-23/15:59:27,23.4,1002.0,1725.0,65.0,74.8
2022-02-23/15:59:28,23.4,1002.0,1725.0,65.0,75.1
2022-02-23/15:59:29,23.4,1002.0,1725.0,65.0,75.3
2022-02-23/15:59:30,23.4,1002.0,1725.0,65.0,75.2
2022-02-23/15:59:31,23.4,1002.0,1725.0,65.0,75.8
2022-02-23/15:59:32,23.4,1002.0,1725.0,65.0,76.7
2022-02-23/15:59:33,23.4,1002.0,1724.0,56.0,76.1
2022-02-23/15:59:35,23.4,1002.0,1724.0,56.0,75.8
2022-02-23/15:59:36,23.4,1002.0,1724.0,65.0,75.4
2022-02-23/15:59:37,23.4,1002.0,1724.0,65.0,74.7
2022-02-23/15:59:38,23.4,1002.0,1724.0,65.0,73.6
2022-02-23/15:59:43,23.4,1002.0,1724.0,65.0,72.3
