time,tempce,luftfeucht,co2,laut,hell
2022-01-08/15:23:50,23.07,987.9,1334.0,320.232,255.6
2022-01-08/15:23:52,23.07,987.9,1334.0,320.232,255.6
2022-01-08/15:23:53,23.07,987.9,1334.0,342.36,256.4
2022-01-08/15:23:54,23.07,987.9,1334.0,342.36,256.4
2022-01-08/15:23:55,23.07,987.9,1334.0,342.36,256.2
2022-01-08/15:23:56,23.07,987.9,1334.0,342.36,256.2
2022-01-08/15:23:57,23.07,987.9,1334.0,342.36,256.3
2022-01-08/15:23:59,23.06,987.9,1321.0,333.168,256.1
2022-01-08/15:24:00,23.06,987.9,1321.0,333.168,255.8
2022-01-08/15:24:01,23.06,987.9,1321.0,333.168,255.6
2022-01-08/15:24:02,23.06,987.9,1321.0,333.168,255.7
2022-01-08/15:24:03,23.06,987.9,1321.0,333.168,255.6
2022-01-08/15:24:05,23.06,987.9,1321.0,330.576,255.6
2022-01-08/15:24:06,23.06,987.9,1321.0,330.576,255.6
2022-01-08/15:24:07,23.06,987.9,1321.0,330.576,255.6
2022-01-08/15:24:08,23.06,987.9,1321.0,330.576,255.6
2022-01-08/15:24:09,23.06,987.9,1321.0,330.576,255.6
2022-01-08/15:24:10,23.06,987.9,1321.0,329.688,255.6
2022-01-08/15:24:12,23.06,987.9,1321.0,329.688,255.6
2022-01-08/15:24:13,23.06,987.9,1321.0,329.688,255.6
2022-01-08/15:24:14,23.06,987.9,1321.0,329.688,254.8
2022-01-08/15:24:15,23.06,987.9,1321.0,329.688,254.7
2022-01-08/15:24:16,23.09,988.0,1314.0,337.488,254.7
2022-01-08/15:24:18,23.09,988.0,1314.0,337.488,254.7
2022-01-08/15:24:19,23.09,988.0,1314.0,337.488,254.7
2022-01-08/15:24:20,23.09,988.0,1314.0,337.488,255.1
2022-01-08/15:24:21,23.09,988.0,1314.0,337.488,255.6
2022-01-08/15:24:22,23.09,988.0,1314.0,337.488,255.2
2022-01-08/15:24:23,23.09,988.0,1314.0,337.488,255.5
2022-01-08/15:24:25,23.09,988.0,1314.0,337.488,255.6
2022-01-08/15:24:26,23.09,988.0,1314.0,337.488,255.6
2022-01-08/15:24:27,23.09,988.0,1314.0,337.488,255.6
2022-01-08/15:24:28,23.09,987.9,1308.0,347.28,255.1
2022-01-08/15:24:29,23.09,987.9,1308.0,347.28,254.7
2022-01-08/15:24:30,23.09,987.9,1308.0,347.28,254.7
2022-01-08/15:24:32,23.09,987.9,1308.0,347.28,254.7
2022-01-08/15:24:33,23.09,987.9,1308.0,347.28,254.7
2022-01-08/15:24:34,23.09,987.9,1308.0,326.496,254.7
2022-01-08/15:24:35,23.09,987.9,1308.0,326.496,254.7
2022-01-08/15:24:36,23.09,987.9,1308.0,326.496,254.7
2022-01-08/15:24:38,23.09,987.9,1308.0,326.496,254.7
2022-01-08/15:24:39,23.09,987.9,1308.0,326.496,254.7
2022-01-08/15:24:40,23.09,987.9,1308.0,324.528,254.7
2022-01-08/15:24:41,23.09,987.9,1308.0,324.528,254.7
2022-01-08/15:24:42,23.09,987.9,1308.0,324.528,254.7
2022-01-08/15:24:43,23.09,987.9,1308.0,324.528,254.7
2022-01-08/15:24:45,23.09,987.9,1308.0,324.528,254.7
2022-01-08/15:24:46,23.09,988.0,1304.0,325.008,254.7
2022-01-08/15:24:47,23.09,988.0,1304.0,325.008,254.7
2022-01-08/15:24:48,23.09,988.0,1304.0,325.008,254.7
2022-01-08/15:24:49,23.09,988.0,1304.0,325.008,254.7
2022-01-08/15:24:50,23.09,988.0,1304.0,325.008,254.7
2022-01-08/15:24:52,23.09,988.0,1304.0,327.84,254.7
2022-01-08/15:24:53,23.09,988.0,1304.0,327.84,254.7
2022-01-08/15:24:54,23.09,988.0,1304.0,327.84,254.7
2022-01-08/15:24:55,23.09,988.0,1304.0,327.84,254.7
2022-01-08/15:24:56,23.09,988.0,1304.0,327.84,254.7
2022-01-08/15:24:58,23.1,988.0,1295.0,316.272,254.7
2022-01-08/15:24:59,23.1,988.0,1295.0,316.272,254.7
2022-01-08/15:25:00,23.1,988.0,1295.0,316.272,254.6
2022-01-08/15:25:01,23.1,988.0,1295.0,316.272,254.4
2022-01-08/15:25:02,23.1,988.0,1295.0,316.272,254.2
2022-01-08/15:25:03,23.1,988.0,1295.0,327.6,255.1
2022-01-08/15:25:05,23.1,988.0,1295.0,327.6,254.8
2022-01-08/15:25:06,23.1,988.0,1295.0,327.6,254.7
2022-01-08/15:25:07,23.1,988.0,1295.0,327.6,254.7
2022-01-08/15:25:08,23.1,988.0,1295.0,327.6,254.7
2022-01-08/15:25:09,23.1,988.0,1295.0,330.024,254.7
2022-01-08/15:25:11,23.1,988.0,1295.0,330.024,254.7
2022-01-08/15:25:12,23.1,988.0,1295.0,330.024,254.7
2022-01-08/15:25:13,23.1,988.0,1295.0,330.024,254.7
2022-01-08/15:25:14,23.1,988.0,1295.0,330.024,254.0
2022-01-08/15:25:15,23.1,988.0,1285.0,328.368,253.8
2022-01-08/15:25:16,23.1,988.0,1285.0,328.368,253.8
2022-01-08/15:25:18,23.1,988.0,1285.0,328.368,253.8
2022-01-08/15:25:19,23.1,988.0,1285.0,328.368,253.8
2022-01-08/15:25:20,23.1,988.0,1285.0,328.368,253.8
2022-01-08/15:25:21,23.1,988.0,1285.0,334.656,254.2
2022-01-08/15:25:22,23.1,988.0,1285.0,334.656,254.7
2022-01-08/15:25:23,23.1,988.0,1285.0,334.656,254.7
2022-01-08/15:25:25,23.1,988.0,1285.0,334.656,254.1
2022-01-08/15:25:26,23.1,988.0,1285.0,334.656,254.2
2022-01-08/15:25:27,23.12,988.0,1290.0,340.128,254.3
2022-01-08/15:25:28,23.12,988.0,1290.0,340.128,254.0
2022-01-08/15:25:29,23.12,988.0,1290.0,340.128,253.8
2022-01-08/15:25:31,23.12,988.0,1290.0,340.128,253.8
2022-01-08/15:25:32,23.12,988.0,1290.0,340.128,253.8
2022-01-08/15:25:33,23.12,988.0,1290.0,334.944,253.8
2022-01-08/15:25:34,23.12,988.0,1290.0,334.944,253.8
2022-01-08/15:25:35,23.12,988.0,1290.0,334.944,253.8
2022-01-08/15:25:36,23.12,988.0,1290.0,334.944,253.8
2022-01-08/15:25:38,23.12,988.0,1290.0,334.944,253.8
2022-01-08/15:25:39,23.12,988.0,1290.0,331.44,253.8
2022-01-08/15:25:40,23.12,988.0,1290.0,331.44,253.8
2022-01-08/15:25:41,23.12,988.0,1290.0,331.44,253.8
2022-01-08/15:25:42,23.12,988.0,1290.0,331.44,253.8
2022-01-08/15:25:43,23.12,988.0,1290.0,331.44,253.8
2022-01-08/15:25:45,23.12,987.9,1289.0,337.464,253.8
2022-01-08/15:25:46,23.12,987.9,1289.0,337.464,253.8
2022-01-08/15:25:47,23.12,987.9,1289.0,337.464,253.5
2022-01-08/15:25:48,23.12,987.9,1289.0,337.464,253.5
2022-01-08/15:25:49,23.12,987.9,1289.0,337.464,253.5
2022-01-08/15:25:51,23.12,987.9,1289.0,332.976,253.7
2022-01-08/15:25:52,23.12,987.9,1289.0,332.976,253.5
2022-01-08/15:25:53,23.12,987.9,1289.0,332.976,253.7
2022-01-08/15:25:54,23.12,987.9,1289.0,332.976,253.4
2022-01-08/15:25:55,23.12,987.9,1289.0,332.976,253.4
2022-01-08/15:25:56,23.14,988.0,1284.0,346.008,253.2
2022-01-08/15:25:58,23.14,988.0,1284.0,346.008,252.9
2022-01-08/15:25:59,23.14,988.0,1284.0,346.008,252.9
2022-01-08/15:26:00,23.14,988.0,1284.0,346.008,252.9
2022-01-08/15:26:01,23.14,988.0,1284.0,346.008,252.9
2022-01-08/15:26:02,23.14,988.0,1284.0,316.656,252.9
2022-01-08/15:26:04,23.14,988.0,1284.0,316.656,252.9
2022-01-08/15:26:05,23.14,988.0,1284.0,316.656,252.9
2022-01-08/15:26:06,23.14,988.0,1284.0,316.656,252.9
2022-01-08/15:26:07,23.14,988.0,1284.0,316.656,252.9
2022-01-08/15:26:08,23.14,988.0,1284.0,332.16,252.9
2022-01-08/15:26:09,23.14,988.0,1284.0,332.16,252.9
2022-01-08/15:26:11,23.14,988.0,1284.0,332.16,252.9
2022-01-08/15:26:12,23.14,988.0,1284.0,332.16,250.0
