time,tempce,luftfeucht,co2,laut,hell
2022-01-08/14:55:51,25,51.0,669.0,50.0,400
2022-01-08/14:55:53,25,51.0,669.0,50.0,400
2022-01-08/14:55:54,25,51.0,669.0,50.0,400
2022-01-08/14:55:55,25,51.0,669.0,50.0,400
2022-01-08/14:55:56,25,51.0,669.0,50.0,400
2022-01-08/14:55:57,25,51.0,669.0,50.0,400
2022-01-08/14:55:59,25,51.0,669.0,50.0,400
2022-01-08/14:56:00,25,51.0,669.0,50.0,400
2022-01-08/14:56:01,25,51.0,669.0,50.0,400
2022-01-08/14:56:02,25,51.0,669.0,50.0,400
2022-01-08/14:56:04,25,51.0,669.0,50.0,400
2022-01-08/14:56:05,25,51.0,669.0,50.0,400
2022-01-08/14:56:06,25,51.0,669.0,50.0,400
2022-01-08/14:56:07,25,51.0,669.0,50.0,400
2022-01-08/14:56:08,25,51.0,669.0,50.0,400
2022-01-08/14:56:10,25,51.0,669.0,50.0,400
2022-01-08/14:56:11,25,51.0,669.0,50.0,400
