time,tempce,luftdruck,co2,laut,hell
2022-02-22/18:16:57,24.0,992.0,2088.0,66.0,3.7
2022-02-22/18:16:58,24.0,992.0,2088.0,66.0,3.1
2022-02-22/18:17:00,24.0,992.0,2088.0,66.0,2.8
2022-02-22/18:17:01,24.0,992.0,2088.0,66.0,3.3
2022-02-22/18:17:02,24.0,992.0,2088.0,66.0,3.3
2022-02-22/18:17:03,24.0,992.0,2088.0,66.0,3.9
2022-02-22/18:17:04,24.0,992.0,2088.0,66.0,4.2
2022-02-22/18:17:05,24.0,992.0,2088.0,66.0,4.2
2022-02-22/18:17:06,24.0,992.0,2088.0,66.0,3.9
2022-02-22/18:17:07,24.0,992.0,2088.0,66.0,4.2
2022-02-22/18:17:08,24.0,992.0,2088.0,63.0,3.6
2022-02-22/18:17:09,24.0,992.0,2088.0,63.0,5.5
2022-02-22/18:17:10,24.0,992.0,2084.0,58.0,5.4
2022-02-22/18:17:12,24.0,992.0,2084.0,58.0,5.8
2022-02-22/18:17:13,24.0,992.0,2084.0,66.0,5.0
2022-02-22/18:17:14,24.0,992.0,2084.0,66.0,5.0
2022-02-22/18:17:15,24.0,992.0,2084.0,66.0,5.3
2022-02-22/18:17:16,24.0,992.0,2084.0,66.0,5.2
2022-02-22/18:17:17,24.0,992.0,2084.0,66.0,4.2
2022-02-22/18:17:18,24.0,992.0,2084.0,66.0,3.7
2022-02-22/18:17:19,24.0,992.0,2084.0,66.0,3.2
2022-02-22/18:17:20,24.0,992.0,2084.0,66.0,3.0
2022-02-22/18:17:21,24.0,992.0,2084.0,66.0,3.3
2022-02-22/18:17:22,24.0,992.0,2084.0,66.0,4.1
2022-02-22/18:17:24,24.0,992.0,2084.0,64.0,4.2
2022-02-22/18:17:25,24.0,992.0,2084.0,64.0,4.1
2022-02-22/18:17:26,24.0,992.0,2081.0,59.0,4.1
2022-02-22/18:17:27,24.0,992.0,2081.0,59.0,3.9
2022-02-22/18:17:28,24.0,992.0,2081.0,66.0,5.0
2022-02-22/18:17:29,24.0,992.0,2081.0,66.0,4.6
2022-02-22/18:17:30,24.0,992.0,2081.0,66.0,5.2
2022-02-22/18:17:31,24.0,992.0,2081.0,66.0,5.0
2022-02-22/18:17:32,24.0,992.0,2081.0,66.0,5.0
2022-02-22/18:17:33,24.0,992.0,2081.0,66.0,5.0
2022-02-22/18:17:34,24.0,992.0,2081.0,66.0,5.0
2022-02-22/18:17:36,24.0,992.0,2081.0,66.0,5.0
2022-02-22/18:17:37,24.0,992.0,2081.0,66.0,5.0
2022-02-22/18:17:38,24.0,992.0,2081.0,66.0,4.2
2022-02-22/18:17:39,24.0,992.0,2094.0,62.0,4.2
2022-02-22/18:17:40,24.0,992.0,2094.0,62.0,3.5
2022-02-22/18:17:41,24.0,992.0,2094.0,59.0,4.2
2022-02-22/18:17:42,24.0,992.0,2094.0,59.0,4.2
2022-02-22/18:17:43,24.0,992.0,2094.0,66.0,4.2
2022-02-22/18:17:44,24.0,992.0,2094.0,66.0,3.7
2022-02-22/18:17:45,24.0,992.0,2094.0,66.0,4.2
2022-02-22/18:17:46,24.0,992.0,2094.0,66.0,4.2
2022-02-22/18:17:48,24.0,992.0,2094.0,66.0,4.2
2022-02-22/18:17:49,24.0,992.0,2094.0,66.0,3.7
2022-02-22/18:17:50,24.0,992.0,2094.0,66.0,4.2
2022-02-22/18:17:51,24.0,992.0,2094.0,66.0,4.1
2022-02-22/18:17:52,24.0,992.0,2094.0,66.0,4.2
2022-02-22/18:17:53,24.0,992.0,2094.0,66.0,4.2
2022-02-22/18:17:54,24.0,992.0,2098.0,59.0,4.0
2022-02-22/18:17:55,24.0,992.0,2098.0,59.0,4.1
2022-02-22/18:17:56,24.0,992.0,2098.0,62.0,4.1
2022-02-22/18:17:57,24.0,992.0,2098.0,62.0,4.2
2022-02-22/18:17:59,24.0,992.0,2098.0,66.0,4.2
2022-02-22/18:18:00,24.0,992.0,2098.0,66.0,3.9
2022-02-22/18:18:01,24.0,992.0,2098.0,66.0,4.2
2022-02-22/18:18:02,24.0,992.0,2098.0,66.0,4.2
2022-02-22/18:18:03,24.0,992.0,2098.0,66.0,4.2
2022-02-22/18:18:04,24.0,992.0,2098.0,66.0,4.2
2022-02-22/18:18:05,24.0,992.0,2098.0,66.0,4.2
2022-02-22/18:18:06,24.0,992.0,2098.0,66.0,4.2
2022-02-22/18:18:07,24.0,992.0,2098.0,65.0,3.9
