time,tempce,luftdruck,co2,laut,hell
2022-08-18/20:06:56,27.4,987.0,2995.0,56.0,2.5
2022-08-18/20:06:57,27.4,987.0,2995.0,65.0,2.5
2022-08-18/20:06:58,27.4,987.0,2995.0,65.0,2.5
2022-08-18/20:06:59,27.4,987.0,2995.0,65.0,2.5
2022-08-18/20:07:00,27.4,987.0,2995.0,65.0,2.8
2022-08-18/20:07:01,27.4,987.0,2995.0,65.0,3.3
2022-08-18/20:07:02,27.4,987.0,2995.0,65.0,2.8
2022-08-18/20:07:03,27.4,987.0,2995.0,65.0,3.0
2022-08-18/20:07:04,27.4,987.0,2995.0,65.0,4.2
2022-08-18/20:07:05,27.4,987.0,2995.0,65.0,4.2
2022-08-18/20:07:07,27.4,987.0,2995.0,65.0,3.3
2022-08-18/20:07:08,27.4,987.0,2995.0,60.0,2.6
2022-08-18/20:07:09,27.4,987.0,2995.0,60.0,2.5
2022-08-18/20:07:10,27.4,987.0,2997.0,59.0,3.1
