time,tempce,luftfeucht,co2,laut,hell
2022-01-06/18:16:54,23.51,997.4999,1496.0,23.76,210.5
2022-01-06/18:16:55,23.51,997.4999,1496.0,23.76,211.1
2022-01-06/18:16:57,23.51,997.4999,1496.0,23.76,210.6
2022-01-06/18:16:58,23.51,997.4999,1496.0,23.76,210.6
2022-01-06/18:16:59,23.54,997.4999,1494.0,23.712,210.8
2022-01-06/18:17:00,23.54,997.4999,1494.0,23.712,210.6
2022-01-06/18:17:01,23.54,997.4999,1494.0,23.712,210.8
2022-01-06/18:17:02,23.54,997.4999,1494.0,23.712,210.6
2022-01-06/18:17:04,23.54,997.4999,1494.0,23.712,210.8
2022-01-06/18:17:05,23.54,997.4999,1494.0,24.216,210.7
2022-01-06/18:17:06,23.54,997.4999,1494.0,24.216,210.9
2022-01-06/18:17:07,23.54,997.4999,1494.0,24.216,210.7
2022-01-06/18:17:08,23.54,997.4999,1494.0,24.216,210.9
2022-01-06/18:17:10,23.54,997.4999,1494.0,24.216,210.7
2022-01-06/18:17:11,23.54,997.4999,1494.0,23.712,210.7
2022-01-06/18:17:12,23.54,997.4999,1494.0,23.712,210.6
2022-01-06/18:17:13,23.54,997.4999,1494.0,23.712,210.7
2022-01-06/18:17:14,23.54,997.4999,1494.0,23.712,210.8
2022-01-06/18:17:15,23.54,997.4999,1494.0,23.712,211.1
2022-01-06/18:17:17,23.53,997.4999,1491.0,23.856,210.8
2022-01-06/18:17:18,23.53,997.4999,1491.0,23.856,211.1
2022-01-06/18:17:19,23.53,997.4999,1491.0,23.856,210.8
2022-01-06/18:17:20,23.53,997.4999,1491.0,23.856,211.1
2022-01-06/18:17:21,23.53,997.4999,1491.0,23.856,211.3
2022-01-06/18:17:22,23.53,997.4999,1491.0,24.192,211.3
2022-01-06/18:17:24,23.53,997.4999,1491.0,24.192,211.4
2022-01-06/18:17:25,23.53,997.4999,1491.0,24.192,211.5
2022-01-06/18:17:26,23.53,997.4999,1491.0,24.192,211.4
2022-01-06/18:17:27,23.53,997.4999,1491.0,24.192,211.3
2022-01-06/18:17:28,23.53,997.4999,1491.0,23.952,211.5
2022-01-06/18:17:30,23.53,997.4999,1491.0,23.952,211.4
2022-01-06/18:17:31,23.53,997.4999,1491.0,23.952,211.2
2022-01-06/18:17:32,23.53,997.4999,1491.0,23.952,211.5
2022-01-06/18:17:33,23.53,997.4999,1491.0,23.952,211.4
2022-01-06/18:17:34,23.56,997.4999,1496.0,23.856,211.3
2022-01-06/18:17:35,23.56,997.4999,1496.0,23.856,211.4
2022-01-06/18:17:37,23.56,997.4999,1496.0,23.856,211.3
2022-01-06/18:17:38,23.56,997.4999,1496.0,23.856,211.1
2022-01-06/18:17:39,23.56,997.4999,1496.0,23.856,211.3
2022-01-06/18:17:40,23.56,997.4999,1496.0,23.784,211.1
2022-01-06/18:17:41,23.56,997.4999,1496.0,23.784,211.2
