time,tempce,luftfeucht,co2,laut,hell
2022-01-09/12:39:20,23.14,975.5,1688.0,21.336,101.6
2022-01-09/12:39:21,23.14,975.5,1688.0,21.336,103.6
2022-01-09/12:39:22,23.14,975.5,1688.0,21.336,107.5
2022-01-09/12:39:23,23.14,975.5,1688.0,21.336,107.1
2022-01-09/12:39:25,23.14,975.5,1688.0,21.336,106.8
2022-01-09/12:39:26,23.14,975.5,1688.0,19.752,106.2
2022-01-09/12:39:27,23.14,975.5,1688.0,19.752,106.7
2022-01-09/12:39:28,23.14,975.5,1688.0,19.752,107.1
2022-01-09/12:39:29,23.14,975.5,1688.0,19.752,106.9
2022-01-09/12:39:30,23.14,975.5,1688.0,19.752,107.7
2022-01-09/12:39:32,23.14,975.5,1688.0,20.4,107.2
2022-01-09/12:39:33,23.14,975.5,1688.0,20.4,109.5
2022-01-09/12:39:34,23.14,975.5,1688.0,20.4,108.9
2022-01-09/12:39:35,23.14,975.5,1688.0,20.4,108.5
2022-01-09/12:39:36,23.14,975.5,1688.0,20.4,108.1
2022-01-09/12:39:37,23.12,975.5,1692.0,20.424,109.8
2022-01-09/12:39:39,23.12,975.5,1692.0,20.424,110.7
2022-01-09/12:39:40,23.12,975.5,1692.0,20.424,111.6
2022-01-09/12:39:41,23.12,975.5,1692.0,20.424,124.5
2022-01-09/12:39:42,23.12,975.5,1692.0,20.424,127.7
2022-01-09/12:39:43,23.12,975.5,1692.0,20.4,126.9
2022-01-09/12:39:45,23.12,975.5,1692.0,20.4,126.0
2022-01-09/12:39:46,23.12,975.5,1692.0,20.4,126.5
2022-01-09/12:39:47,23.12,975.5,1692.0,20.4,126.9
2022-01-09/12:39:48,23.12,975.5,1692.0,20.4,127.7
2022-01-09/12:39:49,23.12,975.5,1692.0,20.088,125.8
2022-01-09/12:39:50,23.12,975.5,1692.0,20.088,125.6
2022-01-09/12:39:52,23.12,975.5,1692.0,20.088,125.1
2022-01-09/12:39:53,23.12,975.5,1692.0,20.088,125.3
2022-01-09/12:39:54,23.12,975.5,1692.0,20.088,125.6
2022-01-09/12:39:55,23.14,975.5,1699.0,20.328,125.6
2022-01-09/12:39:56,23.14,975.5,1699.0,20.328,125.4
2022-01-09/12:39:57,23.14,975.5,1699.0,20.328,125.2
2022-01-09/12:39:59,23.14,975.5,1699.0,20.328,125.1
2022-01-09/12:40:00,23.14,975.5,1699.0,20.328,124.6
2022-01-09/12:40:01,23.14,975.5,1699.0,20.232,124.0
2022-01-09/12:40:02,23.14,975.5,1699.0,20.232,121.9
2022-01-09/12:40:03,23.14,975.5,1699.0,20.232,122.4
2022-01-09/12:40:05,23.14,975.5,1699.0,20.232,123.0
2022-01-09/12:40:06,23.14,975.5,1699.0,20.232,123.3
2022-01-09/12:40:07,23.14,975.6,1701.0,20.184,123.3
2022-01-09/12:40:08,23.14,975.6,1701.0,20.184,123.3
2022-01-09/12:40:09,23.14,975.6,1701.0,20.184,123.3
2022-01-09/12:40:10,23.14,975.6,1701.0,20.184,120.8
2022-01-09/12:40:12,23.14,975.6,1701.0,20.184,125.1
2022-01-09/12:40:13,23.14,975.6,1701.0,19.872,124.8
2022-01-09/12:40:14,23.14,975.6,1701.0,19.872,125.1
2022-01-09/12:40:15,23.14,975.6,1701.0,19.872,125.1
2022-01-09/12:40:16,23.14,975.6,1701.0,19.872,125.1
2022-01-09/12:40:17,23.14,975.6,1701.0,19.872,125.7
2022-01-09/12:40:19,23.14,975.6,1701.0,20.016,124.7
2022-01-09/12:40:20,23.14,975.6,1701.0,20.016,124.2
2022-01-09/12:40:21,23.14,975.6,1701.0,20.016,124.5
2022-01-09/12:40:22,23.14,975.6,1701.0,20.016,125.1
2022-01-09/12:40:23,23.14,975.6,1701.0,20.016,125.4
2022-01-09/12:40:25,23.17,975.7,1706.0,20.136,125.7
2022-01-09/12:40:26,23.17,975.7,1706.0,20.136,125.5
2022-01-09/12:40:27,23.17,975.7,1706.0,20.136,126.0
2022-01-09/12:40:28,23.17,975.7,1706.0,20.136,126.0
2022-01-09/12:40:29,23.17,975.7,1706.0,20.136,126.4
2022-01-09/12:40:30,23.17,975.7,1706.0,20.328,126.9
2022-01-09/12:40:32,23.17,975.7,1706.0,20.328,126.9
2022-01-09/12:40:33,23.17,975.7,1706.0,20.328,127.1
2022-01-09/12:40:34,23.17,975.7,1706.0,20.328,126.9
2022-01-09/12:40:35,23.17,975.7,1706.0,20.328,127.1
2022-01-09/12:40:36,23.16,975.6,1704.0,20.76,124.6
2022-01-09/12:40:37,23.16,975.6,1704.0,20.76,125.1
2022-01-09/12:40:39,23.16,975.6,1704.0,20.76,125.1
2022-01-09/12:40:40,23.16,975.6,1704.0,20.76,125.1
2022-01-09/12:40:41,23.16,975.6,1704.0,20.76,125.4
2022-01-09/12:40:42,23.16,975.6,1704.0,19.872,125.8
2022-01-09/12:40:43,23.16,975.6,1704.0,19.872,125.9
2022-01-09/12:40:45,23.16,975.6,1704.0,19.872,125.9
2022-01-09/12:40:46,23.16,975.6,1704.0,19.872,126.0
2022-01-09/12:40:47,23.16,975.6,1704.0,19.872,126.0
2022-01-09/12:40:48,23.16,975.6,1704.0,20.616,126.2
