time,tempce,luftdruck,co2,laut,hell
2022-08-18/20:26:26,27.5,987.0,2769.0,65.0,153.8
2022-08-18/20:26:27,27.5,987.0,2769.0,64.0,153.4
2022-08-18/20:26:28,27.5,987.0,2769.0,64.0,153.7
2022-08-18/20:26:30,27.5,987.0,2769.0,65.0,153.3
2022-08-18/20:26:31,27.5,987.0,2769.0,65.0,153.5
2022-08-18/20:26:32,27.5,987.0,2769.0,65.0,153.7
2022-08-18/20:26:33,27.5,987.0,2769.0,65.0,154.2
2022-08-18/20:26:34,27.5,987.0,2769.0,64.0,153.9
2022-08-18/20:26:35,27.5,987.0,2769.0,64.0,153.3
2022-08-18/20:26:36,27.5,987.0,2769.0,58.0,153.3
2022-08-18/20:26:37,27.5,987.0,2769.0,58.0,154.0
2022-08-18/20:26:38,27.5,987.0,2769.0,62.0,153.5
2022-08-18/20:26:39,27.5,987.0,2769.0,62.0,154.1
2022-08-18/20:26:40,27.5,987.0,2769.0,65.0,154.1
2022-08-18/20:26:42,27.5,987.0,2769.0,65.0,153.7
2022-08-18/20:26:43,27.5,987.0,2769.0,64.0,154.2
2022-08-18/20:26:44,27.5,987.0,2769.0,64.0,154.0
2022-08-18/20:26:45,27.5,987.0,2769.0,65.0,153.3
