time,tempce,luftdruck,co2,laut,hell
2022-02-22/16:46:57,23.3,993.0,1519.0,66.0,18.3
2022-02-22/16:46:58,23.3,993.0,1519.0,66.0,19.9
2022-02-22/16:46:59,23.3,993.0,1519.0,66.0,20.0
2022-02-22/16:47:00,23.3,993.0,1519.0,66.0,19.9
2022-02-22/16:47:01,23.3,993.0,1519.0,66.0,20.0
2022-02-22/16:47:03,23.3,993.0,1519.0,63.0,20.0
2022-02-22/16:47:04,23.3,993.0,1519.0,63.0,19.9
2022-02-22/16:47:05,23.3,993.0,1531.0,63.0,20.0
2022-02-22/16:47:06,23.3,993.0,1531.0,63.0,20.0
2022-02-22/16:47:07,23.3,993.0,1531.0,66.0,19.5
2022-02-22/16:47:08,23.3,993.0,1531.0,66.0,19.2
2022-02-22/16:47:09,23.3,993.0,1531.0,66.0,19.9
2022-02-22/16:47:10,23.3,993.0,1531.0,66.0,20.0
2022-02-22/16:47:11,23.3,993.0,1531.0,66.0,20.0
2022-02-22/16:47:12,23.3,993.0,1531.0,66.0,20.0
2022-02-22/16:47:14,23.3,993.0,1531.0,66.0,20.0
2022-02-22/16:47:15,23.3,993.0,1531.0,66.0,20.0
2022-02-22/16:47:16,23.3,993.0,1531.0,66.0,19.7
2022-02-22/16:47:17,23.3,993.0,1531.0,66.0,19.6
2022-02-22/16:47:18,23.3,993.0,1535.0,64.0,20.0
2022-02-22/16:47:19,23.3,993.0,1535.0,64.0,20.0
2022-02-22/16:47:20,23.3,993.0,1535.0,59.0,20.0
2022-02-22/16:47:21,23.3,993.0,1535.0,59.0,19.6
