time,tempce,luftfeucht,co2,laut,hell
2022-01-08/13:59:57,21.07,988.2,802.0,24.0,237.6
2022-01-08/13:59:58,21.07,988.2,802.0,24.0,237.6
2022-01-08/13:59:59,21.07,988.2,802.0,24.0,237.6
2022-01-08/14:00:00,21.07,988.2,802.0,24.0,237.6
2022-01-08/14:00:02,21.07,988.2,802.0,358.224,237.6
2022-01-08/14:00:03,21.07,988.2,802.0,358.224,237.6
2022-01-08/14:00:04,21.07,988.2,802.0,358.224,238.2
2022-01-08/14:00:05,21.07,988.2,802.0,358.224,238.5
2022-01-08/14:00:06,21.07,988.2,802.0,358.224,238.3
2022-01-08/14:00:08,21.12,988.2,805.0,365.256,238.0
2022-01-08/14:00:10,21.12,988.2,805.0,365.256,237.9
