time,tempce,luftdruck,co2,laut,hell
2022-02-23/15:44:39,23.2,1002.0,1662.0,65.0,111.7
2022-02-23/15:44:40,23.2,1002.0,1662.0,65.0,111.8
2022-02-23/15:44:41,23.2,1002.0,1662.0,65.0,112.1
2022-02-23/15:44:42,23.2,1002.0,1662.0,65.0,111.8
2022-02-23/15:44:43,23.2,1002.0,1662.0,65.0,111.7
2022-02-23/15:44:44,23.2,1002.0,1662.0,64.0,111.7
2022-02-23/15:44:45,23.2,1002.0,1662.0,64.0,112.1
2022-02-23/15:44:46,23.2,1002.0,1662.0,64.0,112.5
2022-02-23/15:44:47,23.2,1002.0,1662.0,64.0,112.5
2022-02-23/15:44:49,23.2,1002.0,1671.0,56.0,112.5
2022-02-23/15:44:50,23.2,1002.0,1671.0,56.0,112.5
2022-02-23/15:44:51,23.2,1002.0,1671.0,65.0,112.5
2022-02-23/15:44:52,23.2,1002.0,1671.0,65.0,112.5
2022-02-23/15:44:53,23.2,1002.0,1671.0,65.0,112.5
2022-02-23/15:44:54,23.2,1002.0,1671.0,65.0,112.5
2022-02-23/15:44:55,23.2,1002.0,1671.0,65.0,112.5
2022-02-23/15:44:56,23.2,1002.0,1671.0,65.0,112.4
2022-02-23/15:44:57,23.2,1002.0,1671.0,65.0,112.1
2022-02-23/15:44:58,23.2,1002.0,1671.0,65.0,112.3
2022-02-23/15:44:59,23.2,1002.0,1671.0,66.0,111.9
2022-02-23/15:45:01,23.2,1002.0,1671.0,66.0,111.5
2022-02-23/15:45:02,23.2,1002.0,1671.0,65.0,110.8
2022-02-23/15:45:03,23.2,1002.0,1671.0,65.0,111.0
2022-02-23/15:45:04,23.2,1002.0,1675.0,55.0,111.8
2022-02-23/15:45:05,23.2,1002.0,1675.0,55.0,111.4
2022-02-23/15:45:06,23.2,1002.0,1675.0,53.0,112.1
2022-02-23/15:45:07,23.2,1002.0,1675.0,53.0,112.4
2022-02-23/15:45:08,23.2,1002.0,1675.0,63.0,112.0
2022-02-23/15:45:09,23.2,1002.0,1675.0,63.0,112.3
2022-02-23/15:45:10,23.2,1002.0,1675.0,64.0,112.5
2022-02-23/15:45:12,23.2,1002.0,1675.0,64.0,112.5
2022-02-23/15:45:13,23.2,1002.0,1675.0,65.0,112.4
2022-02-23/15:45:14,23.2,1002.0,1675.0,65.0,111.9
2022-02-23/15:45:15,23.2,1002.0,1675.0,65.0,111.7
2022-02-23/15:45:16,23.2,1002.0,1675.0,65.0,111.9
2022-02-23/15:45:17,23.2,1002.0,1675.0,65.0,111.6
2022-02-23/15:45:18,23.2,1002.0,1675.0,65.0,112.5
2022-02-23/15:45:19,23.2,1002.0,1673.0,53.0,111.8
2022-02-23/15:45:20,23.2,1002.0,1673.0,53.0,111.7
2022-02-23/15:45:21,23.2,1002.0,1673.0,65.0,111.7
2022-02-23/15:45:22,23.2,1002.0,1673.0,65.0,111.7
2022-02-23/15:45:24,23.2,1002.0,1673.0,65.0,111.7
2022-02-23/15:45:25,23.2,1002.0,1673.0,65.0,111.6
2022-02-23/15:45:26,23.2,1002.0,1673.0,64.0,112.3
2022-02-23/15:45:27,23.2,1002.0,1673.0,64.0,112.5
2022-02-23/15:45:28,23.2,1002.0,1673.0,65.0,112.4
2022-02-23/15:45:29,23.2,1002.0,1673.0,65.0,112.5
2022-02-23/15:45:30,23.2,1002.0,1673.0,64.0,112.5
2022-02-23/15:45:31,23.2,1002.0,1673.0,64.0,112.5
2022-02-23/15:45:32,23.2,1002.0,1665.0,62.0,112.5
2022-02-23/15:45:33,23.2,1002.0,1665.0,62.0,112.5
2022-02-23/15:45:34,23.2,1002.0,1665.0,58.0,112.5
2022-02-23/15:45:36,23.2,1002.0,1665.0,58.0,112.5
2022-02-23/15:45:37,23.2,1002.0,1665.0,65.0,112.2
2022-02-23/15:45:38,23.2,1002.0,1665.0,65.0,111.7
2022-02-23/15:45:39,23.2,1002.0,1665.0,65.0,110.5
2022-02-23/15:45:40,23.2,1002.0,1665.0,65.0,108.3
2022-02-23/15:45:41,23.2,1002.0,1665.0,66.0,106.8
2022-02-23/15:45:42,23.2,1002.0,1665.0,66.0,105.1
2022-02-23/15:45:43,23.2,1002.0,1665.0,65.0,102.1
2022-02-23/15:45:44,23.2,1002.0,1665.0,65.0,101.7
2022-02-23/15:45:45,23.2,1002.0,1665.0,65.0,101.7
2022-02-23/15:45:46,23.2,1002.0,1665.0,65.0,101.4
2022-02-23/15:45:48,23.2,1002.0,1660.0,57.0,100.8
2022-02-23/15:45:49,23.2,1002.0,1660.0,57.0,100.8
2022-02-23/15:45:50,23.2,1002.0,1660.0,62.0,100.8
2022-02-23/15:45:51,23.2,1002.0,1660.0,62.0,100.2
2022-02-23/15:45:52,23.2,1002.0,1660.0,65.0,100.0
2022-02-23/15:45:53,23.2,1002.0,1660.0,65.0,99.8
2022-02-23/15:45:54,23.2,1002.0,1660.0,65.0,99.90001
2022-02-23/15:45:55,23.2,1002.0,1660.0,65.0,100.0
2022-02-23/15:45:56,23.2,1002.0,1660.0,65.0,100.0
2022-02-23/15:45:57,23.2,1002.0,1660.0,65.0,100.1
2022-02-23/15:45:59,23.2,1002.0,1660.0,65.0,100.8
2022-02-23/15:46:00,23.2,1002.0,1660.0,65.0,101.2
2022-02-23/15:46:01,23.2,1002.0,1660.0,65.0,102.1
2022-02-23/15:46:02,23.2,1002.0,1660.0,65.0,103.5
2022-02-23/15:46:03,23.2,1002.0,1656.0,56.0,76.2
2022-02-23/15:46:04,23.2,1002.0,1656.0,56.0,86.50001
2022-02-23/15:46:05,23.2,1002.0,1656.0,65.0,82.40001
2022-02-23/15:46:06,23.2,1002.0,1656.0,65.0,83.30001
2022-02-23/15:46:07,23.2,1002.0,1656.0,65.0,83.6
2022-02-23/15:46:08,23.2,1002.0,1656.0,65.0,83.5
2022-02-23/15:46:09,23.2,1002.0,1656.0,63.0,83.30001
2022-02-23/15:46:11,23.2,1002.0,1656.0,63.0,83.30001
2022-02-23/15:46:12,23.2,1002.0,1656.0,65.0,83.2
2022-02-23/15:46:13,23.2,1002.0,1656.0,65.0,83.30001
2022-02-23/15:46:14,23.2,1002.0,1656.0,65.0,83.4
2022-02-23/15:46:15,23.2,1002.0,1656.0,65.0,83.9
2022-02-23/15:46:16,23.2,1002.0,1656.0,65.0,84.2
2022-02-23/15:46:17,23.2,1002.0,1656.0,65.0,84.3
2022-02-23/15:46:18,23.2,1002.0,1664.0,55.0,84.2
2022-02-23/15:46:19,23.2,1002.0,1664.0,55.0,84.40001
2022-02-23/15:46:20,23.2,1002.0,1664.0,65.0,84.2
2022-02-23/15:46:22,23.2,1002.0,1664.0,65.0,84.2
2022-02-23/15:46:23,23.2,1002.0,1664.0,64.0,83.5
2022-02-23/15:46:24,23.2,1002.0,1664.0,64.0,82.9
2022-02-23/15:46:25,23.2,1002.0,1664.0,65.0,82.5
2022-02-23/15:46:26,23.2,1002.0,1664.0,65.0,81.7
2022-02-23/15:46:27,23.2,1002.0,1664.0,65.0,81.7
2022-02-23/15:46:28,23.2,1002.0,1664.0,65.0,81.1
2022-02-23/15:46:29,23.2,1002.0,1664.0,65.0,81.1
2022-02-23/15:46:30,23.2,1002.0,1664.0,65.0,80.80001
2022-02-23/15:46:31,23.2,1002.0,1664.0,65.0,80.80001
2022-02-23/15:46:32,23.2,1002.0,1664.0,65.0,81.6
2022-02-23/15:46:34,23.2,1002.0,1668.0,57.0,82.0
2022-02-23/15:46:35,23.2,1002.0,1668.0,57.0,82.80001
2022-02-23/15:46:36,23.2,1002.0,1668.0,65.0,82.5
