time,tempce,luftdruck,co2,laut,hell
2022-02-22/23:22:30,23.4,989.0,2088.0,66.0,185.8
2022-02-22/23:22:31,23.4,989.0,2088.0,66.0,185.8
2022-02-22/23:22:32,23.4,989.0,2088.0,65.0,185.8
2022-02-22/23:22:33,23.4,989.0,2088.0,65.0,185.8
2022-02-22/23:22:34,23.5,989.0,2091.0,57.0,185.8
2022-02-22/23:22:35,23.5,989.0,2091.0,57.0,185.8
2022-02-22/23:22:36,23.5,989.0,2091.0,66.0,186.5
2022-02-22/23:22:37,23.5,989.0,2091.0,66.0,187.6
2022-02-22/23:22:39,23.5,989.0,2091.0,66.0,187.5
2022-02-22/23:22:40,23.5,989.0,2091.0,66.0,187.5
2022-02-22/23:22:41,23.5,989.0,2091.0,66.0,187.5
2022-02-22/23:22:42,23.5,989.0,2091.0,66.0,187.5
2022-02-22/23:22:43,23.5,989.0,2091.0,66.0,187.5
2022-02-22/23:22:44,23.5,989.0,2091.0,66.0,187.5
2022-02-22/23:22:45,23.5,989.0,2091.0,66.0,187.5
2022-02-22/23:22:46,23.5,989.0,2091.0,66.0,187.5
2022-02-22/23:22:47,23.5,989.0,2091.0,65.0,187.5
2022-02-22/23:22:48,23.5,989.0,2091.0,65.0,187.5
2022-02-22/23:22:50,23.5,989.0,2102.0,55.0,187.5
2022-02-22/23:22:51,23.5,989.0,2102.0,55.0,187.5
2022-02-22/23:22:52,23.5,989.0,2102.0,66.0,187.5
2022-02-22/23:22:53,23.5,989.0,2102.0,66.0,187.5
2022-02-22/23:22:54,23.5,989.0,2102.0,66.0,187.5
2022-02-22/23:22:55,23.5,989.0,2102.0,66.0,187.5
2022-02-22/23:22:56,23.5,989.0,2102.0,66.0,187.4
2022-02-22/23:22:57,23.5,989.0,2102.0,66.0,187.5
2022-02-22/23:22:58,23.5,989.0,2102.0,66.0,187.5
2022-02-22/23:22:59,23.5,989.0,2102.0,66.0,187.5
2022-02-22/23:23:00,23.5,989.0,2102.0,66.0,187.5
2022-02-22/23:23:02,23.5,989.0,2102.0,66.0,187.5
2022-02-22/23:23:03,23.5,989.0,2102.0,67.0,187.5
2022-02-22/23:23:04,23.5,989.0,2102.0,67.0,187.5
2022-02-22/23:23:05,23.5,989.0,2106.0,58.0,187.5
2022-02-22/23:23:06,23.5,989.0,2106.0,58.0,187.5
2022-02-22/23:23:07,23.5,989.0,2106.0,66.0,187.5
2022-02-22/23:23:08,23.5,989.0,2106.0,66.0,187.5
2022-02-22/23:23:09,23.5,989.0,2106.0,67.0,187.5
2022-02-22/23:23:10,23.5,989.0,2106.0,67.0,187.5
2022-02-22/23:23:11,23.5,989.0,2106.0,66.0,187.6
2022-02-22/23:23:12,23.5,989.0,2106.0,66.0,187.3
2022-02-22/23:23:16,23.5,989.0,2106.0,66.0,185.8
