time,tempce,luftdruck,co2,laut,hell
2022-02-23/16:09:43,23.5,1002.0,1848.0,65.0,253.3
2022-02-23/16:09:44,23.5,1002.0,1848.0,65.0,253.3
2022-02-23/16:09:45,23.5,1002.0,1848.0,65.0,253.3
2022-02-23/16:09:46,23.5,1002.0,1848.0,65.0,253.4
2022-02-23/16:09:47,23.5,1002.0,1848.0,65.0,254.2
2022-02-23/16:09:48,23.5,1002.0,1836.0,55.0,253.6
2022-02-23/16:09:49,23.5,1002.0,1836.0,55.0,253.5
2022-02-23/16:09:50,23.5,1002.0,1836.0,65.0,253.6
2022-02-23/16:09:52,23.5,1002.0,1836.0,65.0,253.3
2022-02-23/16:09:53,23.5,1002.0,1836.0,65.0,240.9
2022-02-23/16:09:54,23.5,1002.0,1836.0,65.0,233.3
2022-02-23/16:09:55,23.5,1002.0,1836.0,64.0,233.3
2022-02-23/16:09:56,23.5,1002.0,1836.0,64.0,233.9
2022-02-23/16:09:57,23.5,1002.0,1836.0,66.0,235.9
2022-02-23/16:09:58,23.5,1002.0,1836.0,66.0,235.8
2022-02-23/16:09:59,23.5,1002.0,1836.0,65.0,236.6
2022-02-23/16:10:00,23.5,1002.0,1836.0,65.0,236.7
2022-02-23/16:10:01,23.5,1002.0,1836.0,65.0,236.4
2022-02-23/16:10:02,23.5,1002.0,1836.0,65.0,236.0
2022-02-23/16:10:04,23.6,1002.0,1839.0,54.0,235.8
2022-02-23/16:10:05,23.6,1002.0,1839.0,54.0,235.8
2022-02-23/16:10:06,23.6,1002.0,1839.0,66.0,235.9
2022-02-23/16:10:07,23.6,1002.0,1839.0,66.0,236.5
2022-02-23/16:10:08,23.6,1002.0,1839.0,65.0,236.8
2022-02-23/16:10:09,23.6,1002.0,1839.0,65.0,236.7
2022-02-23/16:10:10,23.6,1002.0,1839.0,65.0,236.0
2022-02-23/16:10:11,23.6,1002.0,1839.0,65.0,235.8
2022-02-23/16:10:12,23.6,1002.0,1839.0,66.0,235.8
2022-02-23/16:10:13,23.6,1002.0,1839.0,66.0,235.8
2022-02-23/16:10:15,23.6,1002.0,1839.0,65.0,235.8
2022-02-23/16:10:16,23.6,1002.0,1839.0,65.0,235.8
2022-02-23/16:10:17,23.6,1002.0,1839.0,64.0,235.8
2022-02-23/16:10:18,23.6,1002.0,1839.0,64.0,235.8
2022-02-23/16:10:19,23.6,1002.0,1838.0,56.0,236.0
2022-02-23/16:10:20,23.6,1002.0,1838.0,56.0,236.2
2022-02-23/16:10:21,23.6,1002.0,1838.0,66.0,235.9
2022-02-23/16:10:22,23.6,1002.0,1838.0,66.0,236.1
2022-02-23/16:10:23,23.6,1002.0,1838.0,65.0,235.9
2022-02-23/16:10:24,23.6,1002.0,1838.0,65.0,235.9
2022-02-23/16:10:25,23.6,1002.0,1838.0,59.0,235.8
2022-02-23/16:10:27,23.6,1002.0,1838.0,59.0,235.8
2022-02-23/16:10:28,23.6,1002.0,1838.0,64.0,235.8
2022-02-23/16:10:29,23.6,1002.0,1838.0,64.0,235.8
2022-02-23/16:10:30,23.6,1002.0,1838.0,66.0,236.9
2022-02-23/16:10:31,23.6,1002.0,1838.0,66.0,238.2
2022-02-23/16:10:32,23.6,1002.0,1832.0,54.0,237.1
2022-02-23/16:10:33,23.6,1002.0,1832.0,54.0,235.8
2022-02-23/16:10:34,23.6,1002.0,1832.0,58.0,235.8
2022-02-23/16:10:35,23.6,1002.0,1832.0,58.0,236.6
2022-02-23/16:10:36,23.6,1002.0,1832.0,65.0,236.3
2022-02-23/16:10:37,23.6,1002.0,1832.0,65.0,235.6
2022-02-23/16:10:39,23.6,1002.0,1832.0,65.0,235.6
2022-02-23/16:10:40,23.6,1002.0,1832.0,65.0,235.9
2022-02-23/16:10:41,23.6,1002.0,1832.0,64.0,235.8
2022-02-23/16:10:42,23.6,1002.0,1832.0,64.0,235.8
2022-02-23/16:10:43,23.6,1002.0,1832.0,65.0,235.8
2022-02-23/16:10:44,23.6,1002.0,1832.0,65.0,235.8
2022-02-23/16:10:45,23.6,1002.0,1832.0,65.0,235.8
2022-02-23/16:10:46,23.6,1002.0,1832.0,65.0,235.8
2022-02-23/16:10:47,23.6,1002.0,1831.0,58.0,235.7
2022-02-23/16:10:48,23.6,1002.0,1831.0,58.0,235.8
2022-02-23/16:10:50,23.6,1002.0,1831.0,59.0,235.6
2022-02-23/16:10:51,23.6,1002.0,1831.0,59.0,235.8
2022-02-23/16:10:52,23.6,1002.0,1831.0,65.0,235.8
2022-02-23/16:10:53,23.6,1002.0,1831.0,65.0,235.7
2022-02-23/16:10:54,23.6,1002.0,1831.0,65.0,235.1
2022-02-23/16:10:55,23.6,1002.0,1831.0,65.0,235.1
2022-02-23/16:10:56,23.6,1002.0,1831.0,65.0,235.0
2022-02-23/16:10:57,23.6,1002.0,1831.0,65.0,235.7
2022-02-23/16:10:58,23.6,1002.0,1831.0,65.0,235.6
2022-02-23/16:10:59,23.6,1002.0,1831.0,65.0,235.0
2022-02-23/16:11:00,23.6,1002.0,1831.0,66.0,234.7
2022-02-23/16:11:02,23.6,1002.0,1831.0,66.0,233.5
2022-02-23/16:11:03,23.6,1002.0,1832.0,54.0,235.0
2022-02-23/16:11:04,23.6,1002.0,1832.0,54.0,235.0
2022-02-23/16:11:05,23.6,1002.0,1832.0,65.0,235.0
2022-02-23/16:11:06,23.6,1002.0,1832.0,65.0,235.0
2022-02-23/16:11:07,23.6,1002.0,1832.0,65.0,236.1
2022-02-23/16:11:08,23.6,1002.0,1832.0,65.0,236.7
2022-02-23/16:11:09,23.6,1002.0,1832.0,65.0,236.7
2022-02-23/16:11:10,23.6,1002.0,1832.0,65.0,235.1
2022-02-23/16:11:11,23.6,1002.0,1832.0,65.0,235.0
2022-02-23/16:11:13,23.6,1002.0,1832.0,65.0,235.0
2022-02-23/16:11:14,23.6,1002.0,1832.0,65.0,235.0
2022-02-23/16:11:15,23.6,1002.0,1832.0,65.0,235.0
2022-02-23/16:11:16,23.6,1002.0,1832.0,65.0,235.0
2022-02-23/16:11:17,23.6,1002.0,1832.0,65.0,235.0
2022-02-23/16:11:18,23.6,1002.0,1836.0,54.0,235.0
2022-02-23/16:11:19,23.6,1002.0,1836.0,54.0,235.0
2022-02-23/16:11:20,23.6,1002.0,1836.0,65.0,235.0
2022-02-23/16:11:21,23.6,1002.0,1836.0,65.0,235.0
2022-02-23/16:11:22,23.6,1002.0,1836.0,64.0,235.0
2022-02-23/16:11:23,23.6,1002.0,1836.0,64.0,235.0
2022-02-23/16:11:25,23.6,1002.0,1836.0,63.0,235.0
2022-02-23/16:11:26,23.6,1002.0,1836.0,63.0,235.6
2022-02-23/16:11:27,23.6,1002.0,1836.0,57.0,235.8
2022-02-23/16:11:28,23.6,1002.0,1836.0,57.0,235.8
2022-02-23/16:11:29,23.6,1002.0,1836.0,65.0,235.8
2022-02-23/16:11:30,23.6,1002.0,1836.0,65.0,235.8
2022-02-23/16:11:31,23.6,1002.0,1836.0,62.0,235.8
2022-02-23/16:11:32,23.6,1002.0,1836.0,62.0,235.8
2022-02-23/16:11:33,23.6,1002.0,1825.0,57.0,235.8
2022-02-23/16:11:35,23.6,1002.0,1825.0,57.0,235.4
2022-02-23/16:11:36,23.6,1002.0,1825.0,65.0,234.6
2022-02-23/16:11:37,23.6,1002.0,1825.0,65.0,234.2
2022-02-23/16:11:38,23.6,1002.0,1825.0,65.0,234.6
2022-02-23/16:11:39,23.6,1002.0,1825.0,65.0,235.1
2022-02-23/16:11:40,23.6,1002.0,1825.0,65.0,235.3
2022-02-23/16:11:41,23.6,1002.0,1825.0,65.0,235.7
2022-02-23/16:11:42,23.6,1002.0,1825.0,65.0,235.6
2022-02-23/16:11:43,23.6,1002.0,1825.0,65.0,235.8
2022-02-23/16:11:44,23.6,1002.0,1825.0,65.0,235.2
