time,tempce,luftdruck,co2,laut,hell
2022-10-06/12:02:32,22.3,1017.0,1013.0,64.0,174.5
2022-10-06/12:02:33,22.3,1017.0,1013.0,60.0,185.2
2022-10-06/12:02:34,22.3,1017.0,1013.0,60.0,190.7
2022-10-06/12:02:35,22.3,1017.0,1014.0,56.0,181.6
2022-10-06/12:02:36,22.3,1017.0,1014.0,56.0,157.7
2022-10-06/12:02:37,22.3,1017.0,1014.0,54.0,143.9
2022-10-06/12:02:38,22.3,1017.0,1014.0,54.0,138.1
2022-10-06/12:02:40,22.3,1017.0,1014.0,61.0,137.8
2022-10-06/12:02:41,22.3,1017.0,1014.0,61.0,126.6
2022-10-06/12:02:42,22.3,1017.0,1014.0,61.0,110.3
2022-10-06/12:02:43,22.3,1017.0,1014.0,61.0,105.5
2022-10-06/12:02:44,22.3,1017.0,1014.0,61.0,102.1
2022-10-06/12:02:45,22.3,1017.0,1014.0,61.0,103.3
2022-10-06/12:02:46,22.3,1017.0,1014.0,60.0,109.4
2022-10-06/12:02:47,22.3,1017.0,1014.0,60.0,130.5
2022-10-06/12:02:48,22.3,1017.0,1014.0,60.0,172.0
2022-10-06/12:02:49,22.3,1017.0,1014.0,60.0,181.9
2022-10-06/12:02:51,22.3,1017.0,1020.0,56.0,168.4
2022-10-06/12:02:52,22.3,1017.0,1020.0,56.0,145.0
2022-10-06/12:02:53,22.3,1017.0,1020.0,57.0,141.5
2022-10-06/12:02:54,22.3,1017.0,1020.0,57.0,155.2
2022-10-06/12:02:55,22.3,1017.0,1020.0,63.0,159.2
2022-10-06/12:02:56,22.3,1017.0,1020.0,63.0,163.2
2022-10-06/12:02:57,22.3,1017.0,1020.0,62.0,172.9
2022-10-06/12:02:58,22.3,1017.0,1020.0,62.0,180.9
2022-10-06/12:02:59,22.3,1017.0,1020.0,60.0,190.5
2022-10-06/12:03:00,22.3,1017.0,1020.0,60.0,197.4
2022-10-06/12:03:01,22.3,1017.0,1020.0,61.0,199.5
2022-10-06/12:03:03,22.3,1017.0,1020.0,61.0,201.4
