time,tempce,luftfeucht,co2,laut,hell
2022-01-06/15:28:00,25,51.0,669.0,50.0,400
2022-01-06/15:28:02,25,51.0,669.0,50.0,400
2022-01-06/15:28:04,25,51.0,669.0,50.0,400
2022-01-06/15:28:06,25,51.0,669.0,50.0,400
2022-01-06/15:28:08,25,51.0,669.0,50.0,400
2022-01-06/15:28:10,25,51.0,669.0,50.0,400
2022-01-06/15:28:12,25,51.0,669.0,50.0,400
2022-01-06/15:28:14,25,51.0,669.0,50.0,400
2022-01-06/15:28:16,25,51.0,669.0,50.0,400
2022-01-06/15:28:18,25,51.0,669.0,50.0,400
2022-01-06/15:28:20,25,51.0,669.0,50.0,400
2022-01-06/15:28:22,25,51.0,669.0,50.0,400
2022-01-06/15:28:24,25,51.0,669.0,50.0,400
2022-01-06/15:28:26,25,51.0,669.0,50.0,400
2022-01-06/15:28:29,25,51.0,669.0,50.0,400
2022-01-06/15:28:32,20.24,995.7,727.0,24.0,230.4
2022-01-06/15:28:33,20.24,995.7,727.0,24.0,230.4
2022-01-06/15:28:34,20.24,995.7,727.0,24.0,230.4
2022-01-06/15:28:35,20.24,995.7,727.0,24.0,230.4
2022-01-06/15:28:37,20.24,995.7,727.0,22.968,230.4
2022-01-06/15:28:38,20.24,995.7,727.0,22.968,230.4
2022-01-06/15:28:39,20.24,995.7,727.0,22.968,230.4
2022-01-06/15:28:40,20.24,995.7,727.0,22.968,230.4
2022-01-06/15:28:41,20.24,995.7,727.0,22.968,230.4
2022-01-06/15:28:42,20.24,995.7,727.0,23.496,230.4
2022-01-06/15:28:44,20.24,995.7,727.0,23.496,230.4
2022-01-06/15:28:45,20.24,995.7,727.0,23.496,230.4
2022-01-06/15:28:46,20.24,995.7,727.0,23.496,230.4
2022-01-06/15:28:47,20.24,995.7,727.0,23.496,230.4
2022-01-06/15:28:48,20.29,995.7,737.0,23.16,230.4
2022-01-06/15:28:49,20.29,995.7,737.0,23.16,230.4
2022-01-06/15:28:51,20.29,995.7,737.0,23.16,230.4
2022-01-06/15:28:52,20.29,995.7,737.0,23.16,230.4
2022-01-06/15:28:53,20.29,995.7,737.0,23.16,230.4
2022-01-06/15:28:54,20.29,995.7,737.0,23.232,230.4
2022-01-06/15:28:55,20.29,995.7,737.0,23.232,230.4
2022-01-06/15:28:56,20.29,995.7,737.0,23.232,230.4
2022-01-06/15:28:58,20.29,995.7,737.0,23.232,230.4
2022-01-06/15:28:59,20.29,995.7,737.0,23.232,230.4
2022-01-06/15:29:00,20.29,995.7,737.0,24.024,212.4
