time,tempce,luftfeucht,co2,laut,hell
2022-01-09/12:36:56,23.05,975.5,1663.0,19.776,117.1
2022-01-09/12:36:57,23.05,975.5,1663.0,19.776,108.7
2022-01-09/12:36:58,23.05,975.5,1663.0,19.776,110.3
2022-01-09/12:37:00,23.05,975.5,1663.0,19.776,105.3
2022-01-09/12:37:01,23.05,975.5,1663.0,19.776,104.7
2022-01-09/12:37:02,23.05,975.5,1663.0,21.336,109.1
2022-01-09/12:37:03,23.05,975.5,1663.0,21.336,108.9
2022-01-09/12:37:04,23.05,975.5,1663.0,21.336,103.5
2022-01-09/12:37:06,23.05,975.5,1663.0,21.336,106.8
2022-01-09/12:37:07,23.05,975.5,1663.0,21.336,107.1
2022-01-09/12:37:08,23.04,975.5,1665.0,20.832,107.1
2022-01-09/12:37:09,23.04,975.5,1665.0,20.832,107.8
2022-01-09/12:37:10,23.04,975.5,1665.0,20.832,107.6
