time,tempce,luftdruck,co2,laut,hell
2022-10-01/23:53:10,23.5,999.0,2155.0,55.0,41.7
2022-10-01/23:53:11,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:12,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:13,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:14,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:15,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:16,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:18,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:19,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:20,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:21,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:22,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:23,23.5,999.0,2155.0,65.0,41.7
2022-10-01/23:53:24,23.5,999.0,2158.0,56.0,41.7
2022-10-01/23:53:25,23.5,999.0,2158.0,56.0,41.7
2022-10-01/23:53:26,23.5,999.0,2158.0,65.0,41.7
2022-10-01/23:53:27,23.5,999.0,2158.0,65.0,41.7
2022-10-01/23:53:28,23.5,999.0,2158.0,65.0,41.7
2022-10-01/23:53:30,23.5,999.0,2158.0,65.0,41.7
2022-10-01/23:53:31,23.5,999.0,2158.0,65.0,41.7
2022-10-01/23:53:32,23.5,999.0,2158.0,65.0,41.2
2022-10-01/23:53:33,23.5,999.0,2158.0,65.0,40.0
2022-10-01/23:53:34,23.5,999.0,2158.0,65.0,30.5
2022-10-01/23:53:35,23.5,999.0,2158.0,65.0,37.8
2022-10-01/23:53:36,23.5,999.0,2158.0,65.0,31.0
2022-10-01/23:53:37,23.5,999.0,2158.0,65.0,40.8
2022-10-01/23:53:38,23.5,999.0,2158.0,65.0,40.8
2022-10-01/23:53:39,23.5,999.0,2162.0,56.0,40.8
2022-10-01/23:53:40,23.5,999.0,2162.0,56.0,40.8
2022-10-01/23:53:42,23.5,999.0,2162.0,65.0,40.8
2022-10-01/23:53:43,23.5,999.0,2162.0,65.0,40.9
2022-10-01/23:53:44,23.5,999.0,2162.0,65.0,40.8
2022-10-01/23:53:45,23.5,999.0,2162.0,65.0,40.9
2022-10-01/23:53:46,23.5,999.0,2162.0,65.0,41.6
2022-10-01/23:53:47,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:53:48,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:53:49,23.5,999.0,2162.0,65.0,41.6
2022-10-01/23:53:50,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:53:51,23.5,999.0,2162.0,65.0,42.0
2022-10-01/23:53:53,23.5,999.0,2162.0,63.0,41.7
2022-10-01/23:53:54,23.5,999.0,2162.0,63.0,41.1
2022-10-01/23:53:55,23.5,999.0,2162.0,57.0,41.5
2022-10-01/23:53:56,23.5,999.0,2162.0,57.0,41.5
2022-10-01/23:53:57,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:53:58,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:53:59,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:54:00,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:54:01,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:54:02,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:54:03,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:54:05,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:54:06,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:54:07,23.5,999.0,2162.0,65.0,41.7
2022-10-01/23:54:08,23.5,999.0,2162.0,61.0,41.7
2022-10-01/23:54:09,23.5,999.0,2162.0,61.0,41.5
2022-10-01/23:54:10,23.5,999.0,2163.0,60.0,41.7
2022-10-01/23:54:11,23.5,999.0,2163.0,60.0,41.7
2022-10-01/23:54:12,23.5,999.0,2163.0,65.0,41.7
2022-10-01/23:54:13,23.5,999.0,2163.0,65.0,41.6
2022-10-01/23:54:14,23.5,999.0,2163.0,65.0,41.0
2022-10-01/23:54:16,23.5,999.0,2163.0,65.0,40.8
2022-10-01/23:54:17,23.5,999.0,2163.0,65.0,40.8
2022-10-01/23:54:18,23.5,999.0,2163.0,65.0,40.8
2022-10-01/23:54:19,23.5,999.0,2163.0,65.0,40.8
2022-10-01/23:54:20,23.5,999.0,2163.0,65.0,40.8
2022-10-01/23:54:21,23.5,999.0,2163.0,65.0,40.8
2022-10-01/23:54:22,23.5,999.0,2163.0,65.0,40.4
2022-10-01/23:54:23,23.5,999.0,2159.0,64.0,40.6
2022-10-01/23:54:24,23.5,999.0,2159.0,64.0,40.8
2022-10-01/23:54:25,23.5,999.0,2159.0,58.0,40.8
