time,tempce,luftdruck,co2,laut,hell
2022-08-18/20:24:09,27.4,987.0,2728.0,63.0,153.3
2022-08-18/20:24:10,27.4,987.0,2728.0,63.0,153.4
2022-08-18/20:24:11,27.4,987.0,2728.0,65.0,154.0
2022-08-18/20:24:12,27.4,987.0,2728.0,65.0,153.3
2022-08-18/20:24:13,27.4,987.0,2728.0,65.0,152.8
2022-08-18/20:24:14,27.4,987.0,2728.0,65.0,153.1
2022-08-18/20:24:15,27.4,987.0,2728.0,65.0,153.3
2022-08-18/20:24:16,27.4,987.0,2728.0,65.0,124.0
2022-08-18/20:24:17,27.4,987.0,2728.0,65.0,96.0
2022-08-18/20:24:19,27.4,987.0,2728.0,65.0,47.4
2022-08-18/20:24:20,27.4,987.0,2728.0,65.0,138.6
2022-08-18/20:24:21,27.4,987.0,2728.0,65.0,153.3
