time,tempce,luftfeucht,co2,laut,hell
2022-01-09/12:27:47,22.73,975.4,1511.0,24.0,143.3
2022-01-09/12:27:48,22.73,975.4,1511.0,21.312,143.1
2022-01-09/12:27:49,22.73,975.4,1511.0,21.312,143.1
2022-01-09/12:27:50,22.73,975.4,1511.0,21.312,143.1
2022-01-09/12:27:51,22.73,975.4,1511.0,21.312,143.1
2022-01-09/12:27:52,22.73,975.4,1511.0,21.312,143.1
2022-01-09/12:27:54,22.7,975.4,1513.0,20.184,143.1
2022-01-09/12:27:55,22.7,975.4,1513.0,20.184,143.9
2022-01-09/12:27:56,22.7,975.4,1513.0,20.184,143.8
2022-01-09/12:27:57,22.7,975.4,1513.0,20.184,144.0
2022-01-09/12:27:58,22.7,975.4,1513.0,20.184,143.9
2022-01-09/12:27:59,22.7,975.4,1513.0,20.376,143.6
2022-01-09/12:28:01,22.7,975.4,1513.0,20.376,143.1
2022-01-09/12:28:02,22.7,975.4,1513.0,20.376,143.1
2022-01-09/12:28:03,22.7,975.4,1513.0,20.376,143.1
2022-01-09/12:28:04,22.7,975.4,1513.0,20.376,138.1
2022-01-09/12:28:05,22.71,975.4,1521.0,20.112,142.9
2022-01-09/12:28:07,22.71,975.4,1521.0,20.112,188.0
2022-01-09/12:28:08,22.71,975.4,1521.0,20.112,206.6
2022-01-09/12:28:09,22.71,975.4,1521.0,20.112,156.1
2022-01-09/12:28:10,22.71,975.4,1521.0,20.112,165.6
2022-01-09/12:28:11,22.71,975.4,1521.0,23.808,168.0
2022-01-09/12:28:12,22.71,975.4,1521.0,23.808,168.1
2022-01-09/12:28:14,22.71,975.4,1521.0,23.808,168.3
2022-01-09/12:28:15,22.71,975.4,1521.0,23.808,168.3
2022-01-09/12:28:16,22.71,975.4,1521.0,23.808,168.8
2022-01-09/12:28:17,22.71,975.4,1521.0,20.136,167.1
2022-01-09/12:28:18,22.71,975.4,1521.0,20.136,168.2
2022-01-09/12:28:20,22.71,975.4,1521.0,20.136,168.3
2022-01-09/12:28:21,22.71,975.4,1521.0,20.136,168.3
2022-01-09/12:28:22,22.71,975.4,1521.0,20.136,168.3
2022-01-09/12:28:23,22.74,975.5,1527.0,20.664,168.3
2022-01-09/12:28:24,22.74,975.5,1527.0,20.664,168.3
2022-01-09/12:28:25,22.74,975.5,1527.0,20.664,168.3
2022-01-09/12:28:27,22.74,975.5,1527.0,20.664,157.1
2022-01-09/12:28:28,22.74,975.5,1527.0,20.664,164.7
2022-01-09/12:28:29,22.74,975.5,1527.0,20.928,165.0
2022-01-09/12:28:30,22.74,975.5,1527.0,20.928,168.5
2022-01-09/12:28:31,22.74,975.5,1527.0,20.928,169.4
2022-01-09/12:28:32,22.74,975.5,1527.0,20.928,168.0
2022-01-09/12:28:34,22.74,975.5,1527.0,20.928,155.5
2022-01-09/12:28:35,22.76,975.5,1527.0,20.64,165.5
2022-01-09/12:28:36,22.76,975.5,1527.0,20.64,168.3
2022-01-09/12:28:37,22.76,975.5,1527.0,20.64,166.1
2022-01-09/12:28:38,22.76,975.5,1527.0,20.64,164.6
2022-01-09/12:28:40,22.76,975.5,1527.0,20.64,166.7
2022-01-09/12:28:41,22.76,975.5,1527.0,20.304,165.7
2022-01-09/12:28:42,22.76,975.5,1527.0,20.304,165.6
2022-01-09/12:28:43,22.76,975.5,1527.0,20.304,165.4
2022-01-09/12:28:44,22.76,975.5,1527.0,20.304,161.4
2022-01-09/12:28:45,22.76,975.5,1527.0,20.304,163.6
2022-01-09/12:28:47,22.76,975.5,1527.0,21.12,165.3
2022-01-09/12:28:48,22.76,975.5,1527.0,21.12,168.3
2022-01-09/12:28:49,22.76,975.5,1527.0,21.12,168.3
2022-01-09/12:28:50,22.76,975.5,1527.0,21.12,168.3
2022-01-09/12:28:51,22.76,975.5,1527.0,21.12,165.8
2022-01-09/12:28:53,22.78,975.4,1533.0,21.24,163.6
2022-01-09/12:28:54,22.78,975.4,1533.0,21.24,164.7
2022-01-09/12:28:55,22.78,975.4,1533.0,21.24,163.9
2022-01-09/12:28:56,22.78,975.4,1533.0,21.24,165.2
2022-01-09/12:28:57,22.78,975.4,1533.0,21.24,165.6
2022-01-09/12:28:58,22.78,975.4,1533.0,20.856,165.6
2022-01-09/12:29:00,22.78,975.4,1533.0,20.856,164.8
2022-01-09/12:29:01,22.78,975.4,1533.0,20.856,164.7
2022-01-09/12:29:02,22.78,975.4,1533.0,20.856,165.2
2022-01-09/12:29:03,22.78,975.4,1533.0,20.856,164.8
2022-01-09/12:29:04,22.78,975.4,1533.0,20.424,164.8
2022-01-09/12:29:05,22.78,975.4,1533.0,20.424,164.7
2022-01-09/12:29:07,22.78,975.4,1533.0,20.424,164.7
2022-01-09/12:29:08,22.78,975.4,1533.0,20.424,164.7
2022-01-09/12:29:09,22.78,975.4,1533.0,20.424,163.8
2022-01-09/12:29:10,22.8,975.5,1536.0,20.664,163.9
2022-01-09/12:29:11,22.8,975.5,1536.0,20.664,163.8
2022-01-09/12:29:13,22.8,975.5,1536.0,20.664,163.8
2022-01-09/12:29:14,22.8,975.5,1536.0,20.664,163.8
2022-01-09/12:29:15,22.8,975.5,1536.0,20.664,163.8
2022-01-09/12:29:16,22.8,975.5,1536.0,20.28,163.8
2022-01-09/12:29:17,22.8,975.5,1536.0,20.28,163.8
2022-01-09/12:29:18,22.8,975.5,1536.0,20.28,163.8
2022-01-09/12:29:20,22.8,975.5,1536.0,20.28,162.9
2022-01-09/12:29:21,22.8,975.5,1536.0,20.28,162.9
2022-01-09/12:29:22,22.8,975.5,1542.0,20.304,162.5
2022-01-09/12:29:23,22.8,975.5,1542.0,20.304,162.0
2022-01-09/12:29:24,22.8,975.5,1542.0,20.304,162.0
2022-01-09/12:29:25,22.8,975.5,1542.0,20.304,162.0
