time,tempce,luftdruck,co2,laut,hell
2022-08-18/19:49:41,27.3,987.0,2806.0,62.0,4.2
2022-08-18/19:49:42,27.3,987.0,2806.0,55.0,4.2
2022-08-18/19:49:43,27.3,987.0,2806.0,55.0,4.2
2022-08-18/19:49:44,27.3,987.0,2806.0,65.0,4.2
2022-08-18/19:49:45,27.3,987.0,2806.0,65.0,4.2
2022-08-18/19:49:46,27.3,987.0,2806.0,65.0,4.2
2022-08-18/19:49:47,27.3,987.0,2806.0,65.0,4.2
2022-08-18/19:49:48,27.3,987.0,2806.0,65.0,4.2
2022-08-18/19:49:49,27.3,987.0,2806.0,65.0,4.2
2022-08-18/19:49:51,27.3,987.0,2806.0,64.0,4.2
